time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/n_updates,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,eval/mean_reward,eval/mean_ep_length
85,174080,119.57,3.36,4078,42,0.007080078125,-0.5824972949922085,336,0.2,0.14466415345668793,0.3745088968425989,0.7140380144119263,0.00033128526411019266,0.0012656867,0.00025,,
86,176128,120.0,3.36,4080,43,0.0169677734375,-0.6037894934415817,340,0.2,0.17611005902290344,0.3696389999240637,0.6506118178367615,-0.0002788071578834206,0.0013445608,0.00025,,
87,178176,119.26,3.31,4081,43,0.0335693359375,-0.5086175445467234,344,0.2,0.14224831759929657,0.30140354111790657,0.7744016647338867,-0.0024427557655144483,0.0017225218,0.00025,,
88,180224,119.04,3.45,4082,44,0.0391845703125,-0.6118366159498692,348,0.2,0.19324040412902832,0.3146724347025156,0.7808635830879211,-0.0013061646022833884,0.0007439632,0.00025,,
89,182272,118.43,3.5,4085,44,0.051025390625,-0.6768276579678059,352,0.2,0.12154397368431091,0.26663672644644976,0.7897404432296753,-0.00038849798147566617,0.0019808877,0.00025,,
90,184320,118.42,3.51,4087,45,0.0140380859375,-0.6856087110936642,356,0.2,0.11680517345666885,0.26646525226533413,0.7805797457695007,-0.0019214380299672484,0.0024793767,0.00025,,
91,186368,118.74,3.59,4088,45,0.0306396484375,-0.7079728990793228,360,0.2,0.13037224113941193,0.28409030474722385,0.7567363977432251,-0.00010992100578732789,0.0028426982,0.00025,,
92,188416,118.43,3.58,4090,46,0.018310546875,-0.6253937222063541,364,0.2,0.13216206431388855,0.30888203904032707,0.74318528175354,-0.0017287521914113313,0.0026669302,0.00025,,
93,190464,118.69,3.58,4092,46,0.0096435546875,-0.6847024522721767,368,0.2,0.12402898073196411,0.2733842125162482,0.7922723293304443,-2.729319385252893e-05,0.0011298233,0.00025,,
94,192512,117.8,3.6,4094,47,0.015380859375,-0.6105782128870487,372,0.2,0.10744567215442657,0.3003916684538126,0.7539554238319397,-0.0022476096637547016,0.002524062,0.00025,,
95,194560,119.35,3.67,4097,47,0.0244140625,-0.6284900829195976,376,0.2,0.1307314932346344,0.2745757885277271,0.7761809825897217,-0.0009991862025344744,0.0021728775,0.00025,,
96,196608,118.94,3.58,4099,47,0.006103515625,-0.6874693408608437,380,0.2,0.1424480676651001,0.315585158765316,0.7757669687271118,-0.0009689863072708249,0.00065016595,0.00025,,
97,198656,118.63,3.56,4102,48,0.008544921875,-0.7020165137946606,384,0.2,0.1047542467713356,0.27092563919723034,0.8225112557411194,-0.0004840352776227519,0.0007920089,0.00025,,
,200000,,,,,0.010498046875,-0.6338987834751606,388,0.2,0.14349481463432312,0.3333383481949568,0.7856829166412354,-0.002245642797788605,0.0022289352,0.00025,4.0,121.45
98,200704,119.28,3.6,3949,50,,,,,,,,,,,,
99,202752,119.65,3.66,3953,51,0.0118408203125,-0.5925718247890472,392,0.2,0.13435716927051544,0.317280700430274,0.8004330396652222,-0.0015201563364826143,0.0016481507,0.00025,,
100,204800,117.94,3.58,3955,51,0.046630859375,-0.6342884302139282,396,0.2,0.18693925440311432,0.3424482848495245,0.7906173467636108,-0.00082227005623281,0.004520935,0.00025,,
101,206848,117.68,3.56,3959,52,0.0469970703125,-0.6797655075788498,400,0.2,0.12852834165096283,0.30413803085684776,0.7612962126731873,-0.0018789784226100892,0.0020482433,0.00025,,
102,208896,118.28,3.64,3962,52,0.03125,-0.7452276460826397,404,0.2,0.12334303557872772,0.29602644219994545,0.7854956984519958,-0.001616705791093409,0.004060279,0.00025,,
103,210944,117.83,3.61,3965,53,0.0126953125,-0.7496721148490906,408,0.2,0.1496705263853073,0.2935651186853647,0.789734959602356,-0.0007562485989183187,0.00090378814,0.00025,,
104,212992,119.24,3.67,3968,53,0.0523681640625,-0.6630344465374947,412,0.2,0.13666942715644836,0.3033366668969393,0.7973941564559937,-0.002689971683139447,0.0038134865,0.00025,,
105,215040,118.93,3.57,3971,54,0.040283203125,-0.6937900930643082,416,0.2,0.13661229610443115,0.32732062973082066,0.7808473706245422,-0.0013298254052642733,0.0026673719,0.00025,,
106,217088,120.58,3.58,3973,54,0.014404296875,-0.6695340909063816,420,0.2,0.11645933240652084,0.23812977131456137,0.8242550492286682,-0.0005660179303959012,0.0011447058,0.00025,,
107,219136,119.44,3.52,3977,55,0.009765625,-0.692158505320549,424,0.2,0.10100959241390228,0.23477187473326921,0.8215591311454773,-0.0005375311739044264,0.0014997903,0.00025,,
108,221184,120.97,3.55,3980,55,0.022216796875,-0.677270907908678,428,0.2,0.1889418363571167,0.37344109639525414,0.7676482200622559,0.0001654007937759161,0.0013811879,0.00025,,
109,223232,121.13,3.54,3982,56,0.020751953125,-0.6386571936309338,432,0.2,0.12350976467132568,0.3131868187338114,0.7991442680358887,-0.001707582938252017,0.0018387231,0.00025,,
110,225280,120.54,3.47,3984,56,0.000244140625,-0.5958699695765972,436,0.2,0.14259874820709229,0.29209621623158455,0.7885221242904663,-0.0006281808309722692,0.00050375087,0.00025,,
111,227328,120.93,3.4,3986,57,0.0189208984375,-0.6132565550506115,440,0.2,0.14814044535160065,0.29640655033290386,0.7926766276359558,-0.001320396870141849,0.001742011,0.00025,,
112,229376,120.51,3.42,3989,57,0.0277099609375,-0.6216328516602516,444,0.2,0.11480769515037537,0.236477411352098,0.8324317336082458,-0.0016708576295059174,0.0029359432,0.00025,,
113,231424,121.28,3.39,3991,57,0.0394287109375,-0.5254128258675337,448,0.2,0.11112777888774872,0.21849947329610586,0.8425643444061279,-0.0035750861861743033,0.0022235936,0.00025,,
114,233472,119.87,3.32,3994,58,0.0224609375,-0.5706291906535625,452,0.2,0.10938538610935211,0.23538774345070124,0.8099812269210815,-0.0003136296581942588,0.0022542127,0.00025,,
115,235520,119.81,3.27,3997,58,0.0377197265625,-0.5762915723025799,456,0.2,0.09542454034090042,0.2255131984129548,0.8094075322151184,-0.0015711351297795773,0.0023189706,0.00025,,
116,237568,119.69,3.33,4000,59,0.0084228515625,-0.6023606136441231,460,0.2,0.12222660332918167,0.2509078625589609,0.7426817417144775,-0.00023647648049518466,0.0011017503,0.00025,,
117,239616,119.9,3.38,4003,59,0.0032958984375,-0.5353672578930855,464,0.2,0.10049528628587723,0.22341685369610786,0.8180679678916931,-0.0009990222461055964,0.0007087591,0.00025,,
118,241664,119.38,3.44,4006,60,0.0032958984375,-0.5748677477240562,468,0.2,0.09464029222726822,0.2184315724298358,0.827391505241394,4.09924250561744e-05,0.00012360653,0.00025,,
119,243712,119.34,3.41,4009,60,0.020263671875,-0.5359553433954716,472,0.2,0.1190851703286171,0.23615833185613155,0.8132805824279785,-0.0004512350424192846,0.0028543118,0.00025,,
120,245760,119.63,3.41,4011,61,0.01611328125,-0.4873304236680269,476,0.2,0.12661859393119812,0.2420727899298072,0.8007532358169556,-0.000745520694181323,0.0009413582,0.00025,,
121,247808,119.37,3.38,4014,61,0.01220703125,-0.5357979126274586,480,0.2,0.11441323161125183,0.2314609196037054,0.8080203533172607,-0.0004199436225462705,0.0018130008,0.00025,,
122,249856,120.02,3.45,4018,62,0.0308837890625,-0.5487862750887871,484,0.2,0.1426694244146347,0.2807538863271475,0.7832402586936951,-0.0015589123795507476,0.0022503478,0.00025,,
123,251904,118.77,3.46,4021,62,0.005859375,-0.5434139929711819,488,0.2,0.10324765741825104,0.2742691673338413,0.8284403085708618,-0.0001945377152878791,0.00026180974,0.00025,,
124,253952,119.12,3.48,4023,63,0.014892578125,-0.45953391306102276,492,0.2,0.13617657124996185,0.27810772228986025,0.7868762016296387,-0.0012766851286869496,0.002027434,0.00025,,
