time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/explained_variance,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,eval/mean_reward,eval/mean_ep_length
238,874,208896,102,0.0016354586,0.9708144664764404,925.85,0.0946044921875,404,-1.5875144302845001,0.09704502857142858,-20.65,0.04048558697104454,-0.0005756493774242699,0.00024261257142857144,0.11907903989776969,,
241,874,210944,103,0.002145614,0.9820414781570435,928.06,0.0364990234375,408,-1.5658166073262691,0.09701577142857143,-20.67,0.033606115728616714,-0.00038068642606958747,0.00024253942857142857,0.11995092034339905,,
243,874,212992,104,0.0014466161,0.9653686285018921,931.03,0.0704345703125,412,-1.5686366893351078,0.0969865142857143,-20.63,0.0872349664568901,-0.0009349347674287856,0.00024246628571428572,0.15643791831098497,,
245,874,215040,105,0.0027768044,0.9798468947410583,925.53,0.10546875,416,-1.506648726761341,0.09695725714285715,-20.65,0.1031358540058136,-0.0007329787185881287,0.00024239314285714287,0.17060910630971193,,
248,874,217088,106,0.0012194137,0.975114107131958,923.97,0.029052734375,420,-1.5972175523638725,0.09692800000000001,-20.63,0.029780151322484016,-0.0007792137039359659,0.00024232000000000002,0.14852290134876966,,
250,874,219136,107,0.0014705263,0.9626979827880859,914.18,0.05078125,424,-1.490914836525917,0.09689874285714287,-20.67,0.051258496940135956,-0.0012142599007347599,0.00024224685714285715,0.13865061453543603,,
252,875,221184,108,0.001673224,0.9757182002067566,914.45,0.0321044921875,428,-1.5524975061416626,0.09686948571428572,-20.7,0.04127587750554085,-0.0007378462905762717,0.0002421737142857143,0.12540919426828623,,
255,874,223232,109,0.0011846172,0.9573655128479004,918.94,0.0458984375,432,-1.536005575209856,0.09684022857142859,-20.71,0.05379109084606171,-0.0010770908993436024,0.00024210057142857146,0.1549947210587561,,
257,874,225280,110,0.0018184407,0.971376895904541,919.63,0.062255859375,436,-1.554270327091217,0.09681097142857142,-20.69,0.06145107001066208,-0.0002351091825403273,0.00024202742857142855,0.15935428347438574,,
259,874,227328,111,0.001589287,0.9576087594032288,924.92,0.0299072265625,440,-1.5413426235318184,0.09678171428571429,-20.69,0.04281454533338547,-0.0009847795445239171,0.0002419542857142857,0.1669979130383581,,
262,874,229376,112,0.0026671952,0.975590169429779,924.81,0.0703125,444,-1.508489977568388,0.09675245714285714,-20.72,0.12045218795537949,0.0005431884783320129,0.00024188114285714286,0.1550846127793193,,
264,874,231424,113,0.0020541658,0.9759228825569153,929.48,0.0771484375,448,-1.536631066352129,0.09672320000000001,-20.71,0.03212728723883629,0.00020129201584495604,0.000241808,0.15234765876084566,,
266,874,233472,114,0.0016371126,0.9698232412338257,923.83,0.145751953125,452,-1.482547353953123,0.09669394285714286,-20.74,0.05114009976387024,-0.0031201047531794757,0.00024173485714285714,0.14002457563765347,,
269,874,235520,115,0.00298934,0.9738498330116272,930.61,0.1119384765625,456,-1.511387336999178,0.09666468571428571,-20.72,0.04622539132833481,-0.0019461033662082627,0.0002416617142857143,0.12427936703898013,,
271,873,237568,116,0.0012155069,0.952276349067688,934.29,0.0501708984375,460,-1.473268024623394,0.09663542857142858,-20.65,0.09210620820522308,-0.0012266377016203478,0.00024158857142857144,0.17622068664059043,,
274,874,239616,117,0.0022881143,0.9796491265296936,931.82,0.0965576171875,464,-1.510057520121336,0.09660617142857143,-20.66,0.0723094493150711,-0.0022068185498937964,0.00024151542857142857,0.1860323902219534,,
276,873,241664,118,0.0027884506,0.9674173593521118,943.54,0.0574951171875,468,-1.4717684276401997,0.0965769142857143,-20.61,0.04124157875776291,-0.00044554859050549567,0.00024144228571428572,0.11410114634782076,,
278,873,243712,119,0.0034337437,0.9835816025733948,939.3,0.078369140625,472,-1.5005381628870964,0.09654765714285715,-20.62,0.0396818071603775,-0.000523612805409357,0.00024136914285714288,0.1289081978611648,,
281,873,245760,120,0.0019004224,0.9706150889396667,937.88,0.027587890625,476,-1.4642677381634712,0.0965184,-20.64,0.044027093797922134,-8.300879562739283e-05,0.00024129600000000003,0.11918414407409728,,
283,873,247808,121,0.00055164716,0.9732939600944519,943.08,0.0263671875,480,-1.4775816909968853,0.09648914285714287,-20.63,0.0764191746711731,0.0002900391846196726,0.00024122285714285715,0.1687765836250037,,
285,873,249856,122,0.00095117174,0.9811902046203613,947.77,0.07861328125,484,-1.5146010182797909,0.09645988571428571,-20.64,0.038826942443847656,-0.0011365812679287046,0.00024114971428571428,0.10696345707401633,,
,,250000,,0.0013309154,0.983676552772522,,0.083984375,488,-1.4741947129368782,0.09643062857142858,,0.041317760944366455,-0.0010725157480919734,0.00024107657142857143,0.09694378240965307,-21.0,764.0
294,856,251904,123,,,939.15,,,,,-20.65,,,,,,
296,856,253952,124,0.0018979115,0.9702850580215454,936.51,0.0291748046875,492,-1.4875295236706734,0.09640137142857143,-20.62,0.0792512372136116,-0.0001464610977564007,0.00024100342857142856,0.17621869291178882,,
