time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
141312,130.15,69,4156,4.92,33,0.6836481690406799,0.17206646502017975,0.0008408978173974901,-0.5424963645637035,0.2,0.006617997,0.1102294921875,0.00025,272,0.37514301389455795,,
143360,130.65,70,4167,4.97,34,0.5920273065567017,0.24018344283103943,-0.004514987260336056,-0.5714935138821602,0.2,0.0036479048,0.037841796875,0.00025,276,0.5485756490379572,,
145408,128.19,71,4179,4.86,34,0.5902761220932007,0.24126778542995453,-0.002571500575868413,-0.5591340400278568,0.2,0.0019337302,0.031005859375,0.00025,280,0.49828520603477955,,
147456,128.09,72,4179,4.77,35,0.653221607208252,0.17035701870918274,-0.0006744363345205784,-0.6030752696096897,0.2,0.009160553,0.0560302734375,0.00025,284,0.40539293736219406,,
149504,128.12,73,4184,4.77,35,0.7181721925735474,0.14902913570404053,-0.005106584139866754,-0.6111219450831413,0.2,0.0072232606,0.047119140625,0.00025,288,0.3480297215282917,,
151552,129.25,74,4193,4.88,36,0.6748077273368835,0.20820748805999756,-0.0014131491770967841,-0.5712423473596573,0.2,0.004548463,0.0438232421875,0.00025,292,0.420733779668808,,
153600,129.56,75,4199,4.86,36,0.6802788972854614,0.19503933191299438,-0.003779764985665679,-0.5848994590342045,0.2,0.0051482045,0.0819091796875,0.00025,296,0.37819654494524,,
155648,130.99,76,4204,4.9,37,0.6381215453147888,0.20079144835472107,-0.003240382531657815,-0.5810342393815517,0.2,0.0029092878,0.0126953125,0.00025,300,0.4493800811469555,,
157696,133.06,77,4214,5.02,37,0.62819504737854,0.20607498288154602,-0.0028428872756194323,-0.5638680309057236,0.2,0.0028498438,0.03076171875,0.00025,304,0.4073063936084509,,
159744,137.02,78,4220,5.31,37,0.6581515073776245,0.2161790281534195,-0.0035494036856107414,-0.5118956286460161,0.2,0.004754383,0.0494384765625,0.00025,308,0.4431722778826952,,
161792,141.1,79,4230,5.46,38,0.5409786701202393,0.24719354510307312,-0.0009341363911516964,-0.5271796137094498,0.2,0.004066405,0.02783203125,0.00025,312,0.5414415914565325,,
163840,142.71,80,4239,5.53,38,0.47678297758102417,0.2462615817785263,-0.000968346168519929,-0.5201738681644201,0.2,0.002324401,0.026123046875,0.00025,316,0.5767317786812782,,
165888,143.25,81,4243,5.52,39,0.5610052943229675,0.23032894730567932,-0.00039157678838819265,-0.4957664664834738,0.2,0.0114588365,0.0595703125,0.00025,320,0.5137397833168507,,
