time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,eval/mean_ep_length,eval/mean_reward,train/loss,train/learning_rate,train/n_updates
379,909.15,0.01,660,250612,-20.71,1220,,,0.0075319199822843075,0.0001,37652
381,915.67,0.01,660,251683,-20.69,1224,,,0.012473464012145996,0.0001,37920
382,914.32,0.01,659,252576,-20.69,1228,,,0.010353049263358116,0.0001,38143
384,917.05,0.01,659,253452,-20.69,1232,,,0.006905967369675636,0.0001,38362
386,922.8,0.01,658,254436,-20.67,1236,,,0.01222991943359375,0.0001,38608
387,924.95,0.01,658,255402,-20.67,1240,,,0.006659619510173798,0.0001,38850
389,924.29,0.01,657,256263,-20.67,1244,,,0.010376548394560814,0.0001,39065
391,929.93,0.01,657,257258,-20.65,1248,,,0.02461385540664196,0.0001,39314
392,932.36,0.01,657,258179,-20.64,1252,,,0.010444572195410728,0.0001,39544
394,936.6,0.01,656,259144,-20.65,1256,,,0.011227733455598354,0.0001,39785
396,938.83,0.01,656,260008,-20.65,1260,,,0.004144470207393169,0.0001,40001
397,941.85,0.01,655,260945,-20.61,1264,,,0.005454611033201218,0.0001,40236
399,941.5,0.01,655,261821,-20.6,1268,,,0.00909965019673109,0.0001,40455
401,945.62,0.01,654,262800,-20.6,1272,,,0.00390289886854589,0.0001,40699
402,945.73,0.01,654,263665,-20.6,1276,,,0.0062182592228055,0.0001,40916
404,952.82,0.01,654,264706,-20.59,1280,,,0.005251357331871986,0.0001,41176
406,952.62,0.01,653,265637,-20.58,1284,,,0.004563209600746632,0.0001,41409
408,958.79,0.01,653,266629,-20.57,1288,,,0.004002271220088005,0.0001,41657
409,957.21,0.01,652,267572,-20.59,1292,,,0.00710283825173974,0.0001,41892
411,959.33,0.01,652,268518,-20.57,1296,,,0.004666709341108799,0.0001,42129
413,958.93,0.01,652,269446,-20.54,1300,,,0.015615737065672874,0.0001,42361
415,965.15,0.01,651,270511,-20.5,1304,,,0.005212423391640186,0.0001,42627
416,969.31,0.01,651,271511,-20.49,1308,,,0.011371515691280365,0.0001,42877
418,977.02,0.01,651,272498,-20.5,1312,,,0.0027099470607936382,0.0001,43124
420,976.46,0.01,650,273438,-20.53,1316,,,0.005331678315997124,0.0001,43359
421,971.66,0.01,650,274333,-20.56,1320,,,0.025435559451580048,0.0001,43583
423,965.67,0.01,649,275245,-20.57,1324,,,0.005875431001186371,0.0001,43811
425,965.82,0.01,649,276152,-20.57,1328,,,0.012123552151024342,0.0001,44037
426,967.32,0.01,649,277068,-20.55,1332,,,0.003543445374816656,0.0001,44266
428,968.45,0.01,648,278080,-20.56,1336,,,0.01392434537410736,0.0001,44519
430,967.92,0.01,648,279036,-20.55,1340,,,0.0043318304233253,0.0001,44758
432,975.14,0.01,648,280076,-20.52,1344,,,0.007752146106213331,0.0001,45018
433,973.73,0.01,647,281028,-20.53,1348,,,0.005947809666395187,0.0001,45256
435,976.28,0.01,647,282012,-20.55,1352,,,0.01060960441827774,0.0001,45502
437,974.87,0.01,646,282937,-20.55,1356,,,0.007372142747044563,0.0001,45734
439,984.6,0.01,646,284053,-20.51,1360,,,0.004245397634804249,0.0001,46013
440,983.01,0.01,646,284948,-20.54,1364,,,0.003853120841085911,0.0001,46236
442,982.66,0.01,645,285815,-20.57,1368,,,0.006695629097521305,0.0001,46453
444,985.24,0.01,645,286856,-20.58,1372,,,0.0074249692261219025,0.0001,46713
446,990.32,0.01,645,287851,-20.54,1376,,,0.003075022716075182,0.0001,46962
448,989.5,0.01,644,288879,-20.53,1380,,,0.0038941367529332638,0.0001,47219
449,990.16,0.01,644,289816,-20.54,1384,,,0.00903913751244545,0.0001,47453
451,987.75,0.01,644,290742,-20.55,1388,,,0.004645804408937693,0.0001,47685
452,986.59,0.01,643,291657,-20.55,1392,,,0.0037469062954187393,0.0001,47914
454,989.39,0.01,643,292677,-20.55,1396,,,0.0031165576074272394,0.0001,48169
456,986.95,0.01,643,293557,-20.6,1400,,,0.008367462083697319,0.0001,48389
458,985.18,0.01,642,294577,-20.64,1404,,,0.004469035658985376,0.0001,48644
460,992.88,0.01,642,295768,-20.61,1408,,,0.002737866248935461,0.0001,48941
462,991.99,0.01,642,296730,-20.61,1412,,,0.012636236846446991,0.0001,49182
