time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,eval/mean_ep_length,eval/mean_reward
172032,-137.5,84,3418,38.96,50,1784.6312255859375,-1.0340005867183208,332,0.046875,0.0005523956497199833,0.011776872,3615.951675415039,0.3538197875022888,0.2,0.0001,,
174080,-117.01,85,3423,36.03,50,2207.152587890625,-1.003223966807127,336,0.021728515625,0.0006733163027092814,0.0033167303,4705.805114746094,0.4484221935272217,0.2,0.0001,,
174944,,,,,,2173.185302734375,-1.0050831586122513,340,0.0587158203125,-0.00106504894210957,0.012495365,4582.28466796875,0.4976736903190613,0.2,0.0001,57.55,-278.95
176128,-153.71,86,3366,41.3,52,,,,,,,,,,,,
178176,-137.83,87,3370,38.83,52,2722.31787109375,-1.0202982053160667,344,0.0364990234375,0.0014994385128375143,0.0059158057,5105.466949462891,0.3591573238372803,0.2,0.0001,,
180224,-140.61,88,3375,39.68,53,2361.2294921875,-1.009679850190878,348,0.118408203125,-0.0019501533824950457,0.013070114,4684.596923828125,0.45019811391830444,0.2,0.0001,,
182272,-90.29,89,3379,32.09,53,2560.833251953125,-1.023731268942356,352,0.0369873046875,0.0004377058648969978,0.008538592,5029.616973876953,0.4390512704849243,0.2,0.0001,,
184320,-134.97,90,3383,38.76,54,2121.387451171875,-1.001400351524353,356,0.0863037109375,-0.004041226726258174,0.0068300823,4615.998382568359,0.54421466588974,0.2,0.0001,,
186368,-161.08,91,3387,42.96,55,2081.186279296875,-0.9884895458817482,360,0.0186767578125,0.0001475958270020783,0.0011880811,3879.4151916503906,0.44335609674453735,0.2,0.0001,,
188416,-163.12,92,3392,43.61,55,1781.46826171875,-1.009215634316206,364,0.1849365234375,0.0008268340316135436,0.030037377,3768.486801147461,0.4944643974304199,0.2,0.0001,,
190464,-159.9,93,3397,43.01,56,1947.4912109375,-0.8772092051804066,368,0.7740478515625,0.09792999425553717,0.39193332,3533.1607666015625,0.5699522495269775,0.2,0.0001,,
192512,-161.54,94,3401,42.69,56,3588.562255859375,-0.7915974892675877,372,0.054443359375,0.003948304773075506,0.0023552917,7700.803039550781,0.11675876379013062,0.2,0.0001,,
194560,-176.23,95,3405,44.83,57,3490.896484375,-0.8714207634329796,376,0.100830078125,0.0020722729968838394,0.0067258035,7506.58984375,0.1265876293182373,0.2,0.0001,,
196608,-120.99,96,3409,37.24,57,3614.0595703125,-0.9456969201564789,380,0.0784912109375,-0.00014317658497020602,0.0074701607,7328.415985107422,0.08110207319259644,0.2,0.0001,,
198656,-108.24,97,3414,35.81,58,2894.192626953125,-1.0630655847489834,384,0.0714111328125,-0.002559306420153007,0.007953816,6045.902374267578,0.2549911141395569,0.2,0.0001,,
199936,,,,,,2557.68994140625,-1.1082550957798958,388,0.045166015625,-0.0023654113756492734,0.0054070307,5187.195037841797,0.18327546119689941,0.2,0.0001,56.95,-279.4
200704,-134.73,98,3363,40.59,59,,,,,,,,,,,,
202752,-93.8,99,3367,33.95,60,2329.77197265625,-1.1430051550269127,392,0.111083984375,-0.004734344955068082,0.0076000397,5001.129608154297,0.18670564889907837,0.2,0.0001,,
204800,-90.32,100,3371,32.8,60,2587.393798828125,-1.164757378399372,396,0.0499267578125,-6.984424544498324e-05,0.0058711264,5454.014343261719,0.1335250735282898,0.2,0.0001,,
206848,-74.6,101,3375,30.28,61,2144.65673828125,-1.1717187762260437,400,0.1168212890625,-0.0008468622545478866,0.0024090926,4372.682098388672,0.19099420309066772,0.2,0.0001,,
208896,-58.02,102,3377,27.96,61,2048.9833984375,-1.1804631426930428,404,0.1490478515625,-0.003684376075398177,0.0150453355,4111.088287353516,0.24268871545791626,0.2,0.0001,,
210944,-60.67,103,3381,28.71,62,2078.170654296875,-1.1664419993758202,408,0.070556640625,-0.0019445958751020953,0.009251391,4525.5216064453125,0.25237351655960083,0.2,0.0001,,
212992,-113.71,104,3385,37.13,62,1771.9808349609375,-1.1295261234045029,412,0.046875,-0.001960076915565878,0.006999251,3758.8377075195312,0.37143146991729736,0.2,0.0001,,
215040,-92.08,105,3389,33.89,63,1856.8580322265625,-1.1165638864040375,416,0.1087646484375,-0.0016363001486752182,0.0021042798,3826.6588439941406,0.3505580425262451,0.2,0.0001,,
217088,-107.44,106,3393,36.59,63,2209.429443359375,-1.098252035677433,420,0.0716552734375,-0.0009338947711512446,0.0036132846,4327.087646484375,0.38469600677490234,0.2,0.0001,,
219136,-94.71,107,3397,34.2,64,1752.0894775390625,-1.1666394472122192,424,0.0902099609375,-0.0009916136623360217,0.009044095,3505.0433502197266,0.46640604734420776,0.2,0.0001,,
221184,-69.71,108,3400,29.87,65,1741.731201171875,-1.1649083942174911,428,0.068603515625,0.00010071361612062901,0.014534788,3623.843734741211,0.5227049589157104,0.2,0.0001,,
223232,-53.01,109,3404,28.49,65,1618.3519287109375,-1.1916828155517578,432,0.0740966796875,-0.0036592305987142026,0.008692999,3434.5464630126953,0.5797954201698303,0.2,0.0001,,
224928,,,,,,1886.4931640625,-1.2086074575781822,436,0.1939697265625,-0.007626001082826406,0.013416169,3711.49169921875,0.5741454362869263,0.2,0.0001,17.75,7.4
225280,-2.91,110,3389,20.83,66,,,,,,,,,,,,
227328,14.21,111,3392,17.51,67,1530.6817626953125,-1.2224993854761124,440,0.21630859375,0.009281852369895205,0.0073682717,3504.4461822509766,0.445745587348938,0.2,0.0001,,
229376,3.22,112,3394,19.7,67,1375.978271484375,-1.218931645154953,444,0.20361328125,-0.00667633576085791,0.009684555,2914.2413635253906,0.4781227111816406,0.2,0.0001,,
231424,15.85,113,3396,18.07,68,1127.074951171875,-1.248713307082653,448,0.2086181640625,-0.0017154098895844072,0.0028781653,2379.581039428711,0.5003867745399475,0.2,0.0001,,
233472,-9.78,114,3398,21.97,68,941.0357055664062,-1.2325795143842697,452,0.1112060546875,0.003034327062778175,0.0148797,1843.728042602539,0.3834644556045532,0.2,0.0001,,
235520,-17.18,115,3400,23.0,69,994.3021850585938,-1.2182570472359657,456,0.2828369140625,0.004804670286830515,0.024777597,2158.154121398926,0.4219827651977539,0.2,0.0001,,
237568,21.23,116,3403,16.76,69,952.66015625,-1.169419340789318,460,0.2310791015625,-0.0054067689925432205,0.019671222,2189.97420501709,0.5592253804206848,0.2,0.0001,,
239616,19.03,117,3405,17.1,70,632.5167846679688,-1.1740017607808113,464,0.2626953125,0.007796063582645729,0.020318791,1406.2806243896484,0.44925111532211304,0.2,0.0001,,
241664,22.74,118,3406,16.4,70,643.584228515625,-1.1565651670098305,468,0.1845703125,-0.003084440715610981,0.013798427,1371.8154602050781,0.5556602478027344,0.2,0.0001,,
243712,26.63,119,3408,15.42,71,681.26318359375,-1.149575598537922,472,0.06787109375,-0.00198384202667512,0.00411418,1404.7709426879883,0.5028080344200134,0.2,0.0001,,
245760,26.29,120,3409,15.64,72,657.4296264648438,-1.1064667776226997,476,0.115234375,-0.0018204495718237013,0.010555942,1384.6797714233398,0.5161840915679932,0.2,0.0001,,
247808,39.68,121,3411,13.08,72,570.6649780273438,-1.0687461644411087,480,0.073974609375,-0.003742005763342604,0.003293442,1044.838005065918,0.5515281558036804,0.2,0.0001,,
249856,45.88,122,3412,11.89,73,534.9833984375,-1.1194306686520576,484,0.19873046875,0.0003448663919698447,0.009991272,1211.8957748413086,0.3047116994857788,0.2,0.0001,,
249920,,,,,,399.0618591308594,-1.096141554415226,488,0.17529296875,-0.0036088734050281346,0.011238114,837.2222595214844,0.31681257486343384,0.2,0.0001,11.85,46.6
251904,40.1,123,3402,13.15,74,,,,,,,,,,,,
253952,45.93,124,3402,12.22,74,422.1982116699219,-1.0753614231944084,492,0.094970703125,-0.0025244640128221363,0.0059687044,785.0832290649414,0.3563312888145447,0.2,0.0001,,
256000,43.41,125,3404,12.62,75,376.962158203125,-1.0672084167599678,496,0.039306640625,-0.000777728360844776,0.008090743,803.9298324584961,0.3916100263595581,0.2,0.0001,,
258048,48.54,126,3404,11.72,75,486.38397216796875,-1.0518923178315163,500,0.104248046875,-0.001561502314871177,0.002292923,1037.8653984069824,0.22049415111541748,0.2,0.0001,,
260096,52.04,127,3405,10.98,76,342.2578125,-1.0200044065713882,504,0.1409912109375,0.002892695978516713,0.009432524,694.2410736083984,0.3302786350250244,0.2,0.0001,,
262144,52.09,128,3405,10.66,76,384.3664245605469,-1.0130651369690895,508,0.0947265625,0.0007356647402048111,0.0121180555,704.4575843811035,0.2848787307739258,0.2,0.0001,,
264192,48.8,129,3405,11.36,77,421.7200927734375,-0.950191542506218,512,0.142333984375,-0.007131551275961101,0.0061546783,706.7786636352539,0.33041059970855713,0.2,0.0001,,
266240,54.86,130,3405,9.98,78,319.0205078125,-0.956063162535429,516,0.169921875,-0.0007367534271907061,0.010420015,648.5012817382812,0.3206831216812134,0.2,0.0001,,
268288,51.81,131,3405,10.67,78,287.45440673828125,-0.9079480580985546,520,0.18017578125,-0.00456584565108642,0.014511204,580.7903728485107,0.3316485285758972,0.2,0.0001,,
270336,51.39,132,3404,10.79,79,345.9530029296875,-0.8299531899392605,524,0.2489013671875,0.014395800768397748,0.03854011,678.1804313659668,0.3999571204185486,0.2,0.0001,,
272384,57.59,133,3404,9.66,80,252.40174865722656,-0.8027087189257145,528,0.143310546875,-0.0031171510054264218,0.0065325554,520.534688949585,0.3894757032394409,0.2,0.0001,,
274432,51.67,134,3404,10.98,80,263.2869873046875,-0.8561750315129757,532,0.0888671875,-0.005051264539361,0.006084253,541.9787502288818,0.4772217869758606,0.2,0.0001,,
274912,,,,,,234.2329559326172,-0.838948454707861,536,0.0836181640625,-0.0005541230784729123,0.0050324555,570.9428176879883,0.47844451665878296,0.2,0.0001,10.2,55.1
