time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
334,764,-19.58,173043,517,1138.97,0.1434371499999998,0.0001,40760,0.01937410980463028,,
333,768,-19.54,174365,522,1150.99,0.13689325000000074,0.0001,41091,0.017591845244169235,,
333,772,-19.54,175511,526,1154.1,0.1312205500000002,0.0001,41377,0.016697265207767487,,
332,776,-19.52,176670,531,1161.16,0.12548349999999953,0.0001,41667,0.0058646732941269875,,
332,780,-19.46,178044,536,1177.23,0.11868219999999952,0.0001,42010,0.013449459336698055,,
331,784,-19.43,179420,541,1187.44,0.1118710000000005,0.0001,42354,0.012546197511255741,,
330,788,-19.5,180524,545,1185.02,0.10640620000000056,0.0001,42630,0.01905619353055954,,
330,792,-19.54,181779,550,1191.42,0.10019395000000053,0.0001,42944,0.01609059050679207,,
329,796,-19.42,183174,556,1208.77,0.09328870000000034,0.0001,43293,0.01690497249364853,,
328,800,-19.38,184598,561,1221.26,0.08623989999999981,0.0001,43649,0.012887571007013321,,
328,804,-19.37,186020,566,1232.95,0.07920099999999974,0.0001,44004,0.010515760630369186,,
327,808,-19.39,187209,571,1238.02,0.07331545000000017,0.0001,44302,0.012554719112813473,,
327,812,-19.37,188653,576,1254.54,0.06616765000000024,0.0001,44663,0.00948985107243061,,
326,816,-19.32,190114,582,1269.96,0.05893570000000059,0.0001,45028,0.018645774573087692,,
325,820,-19.31,191764,588,1285.97,0.05076819999999982,0.0001,45440,0.005876877810806036,,
325,824,-19.31,193028,593,1295.07,0.0445114000000002,0.0001,45756,0.016244612634181976,,
324,828,-19.3,194365,598,1302.15,0.037893250000000545,0.0001,46091,0.003913097083568573,,
323,832,-19.22,195864,604,1320.59,0.030473199999999867,0.0001,46465,0.010051732882857323,,
323,836,-19.24,197190,609,1327.36,0.02390950000000014,0.0001,46797,0.017124777659773827,,
322,840,-19.23,198615,614,1336.7,0.016855750000000058,0.0001,47153,0.02609807811677456,,
,,,200000,,,0.010004949999999901,0.0001,47499,0.011272381991147995,1330.5,-20.0
313,844,-19.2,200001,637,1350.67,0.01,0.0001,47500,0.013910474255681038,,
313,848,-19.21,201372,642,1356.72,0.01,0.0001,47842,0.008161293342709541,,
312,852,-19.19,202805,648,1357.2,0.01,0.0001,48201,0.019197378307580948,,
312,856,-19.22,204056,652,1359.96,0.01,0.0001,48513,0.008143622428178787,,
312,860,-19.24,205438,658,1365.81,0.01,0.0001,48859,0.008829706348478794,,
311,864,-19.21,206889,664,1375.32,0.01,0.0001,49222,0.028042014688253403,,
310,868,-19.21,208168,669,1373.53,0.01,0.0001,49541,0.030230550095438957,,
310,872,-19.17,209670,675,1388.06,0.01,0.0001,49917,0.01810237020254135,,
309,876,-19.13,211093,681,1398.56,0.01,0.0001,50273,0.015467234887182713,,
309,880,-19.18,212310,685,1392.44,0.01,0.0001,50577,0.020086396485567093,,
309,884,-19.18,213801,691,1397.16,0.01,0.0001,50950,0.01400771550834179,,
308,888,-19.18,215197,696,1408.5,0.01,0.0001,51299,0.016298741102218628,,
308,892,-19.09,216812,702,1422.86,0.01,0.0001,51702,0.014561762101948261,,
308,896,-19.09,218400,708,1430.93,0.01,0.0001,52099,0.01604589819908142,,
307,900,-19.09,219886,714,1433.26,0.01,0.0001,52471,0.009311895817518234,,
307,904,-19.13,221337,719,1434.08,0.01,0.0001,52834,0.0058826785534620285,,
307,908,-19.06,222774,724,1444.18,0.01,0.0001,53193,0.019915955141186714,,
307,912,-19.05,224261,730,1445.88,0.01,0.0001,53565,0.016425225883722305,,
306,916,-19.02,225758,735,1447.13,0.01,0.0001,53939,0.02294623851776123,,
306,920,-18.99,227211,741,1439.26,0.01,0.0001,54302,0.008181395009160042,,
305,924,-18.97,228565,747,1443.42,0.01,0.0001,54641,0.012969905510544777,,
305,928,-18.96,230093,753,1451.16,0.01,0.0001,55023,0.013782480731606483,,
305,932,-18.96,231589,759,1451.55,0.01,0.0001,55397,0.009206877090036869,,
304,936,-18.93,233112,764,1459.54,0.01,0.0001,55777,0.012844787910580635,,
304,940,-18.89,234529,770,1459.2,0.01,0.0001,56132,0.007379085756838322,,
303,944,-18.88,236014,776,1463.26,0.01,0.0001,56503,0.009629718959331512,,
303,948,-18.84,237539,782,1469.07,0.01,0.0001,56884,0.010632290504872799,,
303,952,-18.81,239043,788,1471.85,0.01,0.0001,57260,0.021703451871871948,,
302,956,-18.68,240684,794,1487.39,0.01,0.0001,57670,0.0060472809709608555,,
302,960,-18.65,242119,800,1489.5,0.01,0.0001,58029,0.018665051087737083,,
302,964,-18.61,243663,806,1493.4,0.01,0.0001,58415,0.010202726349234581,,
301,968,-18.64,245063,811,1498.44,0.01,0.0001,58765,0.010536208748817444,,
301,972,-18.63,246561,817,1497.97,0.01,0.0001,59140,0.013142863288521767,,
301,976,-18.69,247953,822,1497.26,0.01,0.0001,59488,0.00696555245667696,,
301,980,-18.64,249387,828,1505.41,0.01,0.0001,59846,0.009016286581754684,,
300,984,-18.59,250927,834,1507.38,0.01,0.0001,60231,0.026438236236572266,,
300,988,-18.42,252696,841,1522.4,0.01,0.0001,60673,0.006884553469717503,,
299,992,-18.45,254333,847,1523.23,0.01,0.0001,61083,0.01168735045939684,,
299,996,-18.47,255926,853,1523.31,0.01,0.0001,61481,0.006398174911737442,,
299,1000,-18.42,257425,859,1524.25,0.01,0.0001,61856,0.010866384953260422,,
299,1004,-18.4,258900,865,1525.52,0.01,0.0001,62224,0.010786889120936394,,
298,1008,-18.43,260273,870,1522.85,0.01,0.0001,62568,0.015137653797864914,,
298,1012,-18.33,262004,877,1532.27,0.01,0.0001,63000,0.020829351618885994,,
298,1016,-18.33,263386,882,1527.82,0.01,0.0001,63346,0.010842444375157356,,
298,1020,-18.38,264703,887,1522.04,0.01,0.0001,63675,0.018047604709863663,,
297,1024,-18.31,266193,893,1527.2,0.01,0.0001,64048,0.01334242895245552,,
297,1028,-18.2,267838,899,1531.87,0.01,0.0001,64459,0.012343959882855415,,
297,1032,-18.21,269435,906,1535.58,0.01,0.0001,64858,0.010703906416893005,,
296,1036,-18.19,271015,912,1537.49,0.01,0.0001,65253,0.01485857181251049,,
296,1040,-18.11,272748,919,1549.98,0.01,0.0001,65686,0.0147627554833889,,
296,1044,-17.99,274565,926,1563.13,0.01,0.0001,66141,0.007307623513042927,,
296,1048,-17.91,276206,932,1568.29,0.01,0.0001,66551,0.010051166638731956,,
296,1052,-17.95,277644,937,1566.05,0.01,0.0001,66910,0.006441103294491768,,
295,1056,-17.98,279125,943,1559.53,0.01,0.0001,67281,0.010901529341936111,,
295,1060,-17.96,280857,949,1571.71,0.01,0.0001,67714,0.009416134096682072,,
295,1064,-17.99,282406,955,1571.96,0.01,0.0001,68101,0.011660506948828697,,
295,1068,-17.93,284046,962,1581.61,0.01,0.0001,68511,0.017677683383226395,,
294,1072,-17.83,285906,969,1595.98,0.01,0.0001,68976,0.014304142445325851,,
294,1076,-17.71,287692,976,1611.14,0.01,0.0001,69422,0.013045220635831356,,
294,1080,-17.7,289153,982,1612.94,0.01,0.0001,69788,0.016858132556080818,,
294,1084,-17.74,290670,988,1612.25,0.01,0.0001,70167,0.01166011206805706,,
293,1088,-17.83,292341,994,1608.46,0.01,0.0001,70585,0.00942518375813961,,
293,1092,-17.79,294024,1001,1610.26,0.01,0.0001,71005,0.014925962314009666,,
293,1096,-17.8,295657,1007,1611.96,0.01,0.0001,71414,0.0069368802942335606,,
