time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,rollout/ep_len_mean,train/clip_range,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
5500928,6432,2686,855,,,,,,-9.27,,,3980.18,,,,,
5502976,6434,2687,855,-0.001626968485652469,0.5020685791969299,-0.975399924442172,0.2764892578125,0.1352989226579666,-9.32,5.353828571428571e-05,10744,3964.55,0.021415314285714283,0.2968001551926136,0.0006959718,,
5505024,6437,2688,855,-0.002206417266279459,0.6025941371917725,-0.9878396298736334,0.29345703125,0.07619727402925491,-9.44,5.3465142857142854e-05,10748,3951.84,0.021386057142857143,0.17773420736193657,0.0007466535,,
5507072,6439,2689,855,-0.0020569013577187434,0.5802605152130127,-0.9641535468399525,0.2840576171875,0.06211144104599953,-9.44,5.339199999999999e-05,10752,3938.27,0.0213568,0.20446638949215412,0.000742262,,
5509120,6441,2690,855,-0.0019665476720547304,0.6560343503952026,-0.9947563726454973,0.2747802734375,0.060536306351423264,-9.37,5.331885714285714e-05,10756,3957.63,0.021327542857142858,0.19076347397640347,0.0007446937,,
5511168,6443,2691,855,-0.0013039739278610796,0.6808333396911621,-0.9727491196244955,0.314453125,0.08438536524772644,-9.42,5.3245714285714285e-05,10760,3950.31,0.021298285714285714,0.1926451800391078,0.0007768143,,
5513216,6445,2692,855,-0.0022464392604888417,0.5778807401657104,-0.9920893106609583,0.273193359375,0.07486680895090103,-9.36,5.317257142857143e-05,10764,3950.42,0.021269028571428573,0.2148912213742733,0.0007692301,,
5515264,6447,2693,855,-0.0016634644998703152,0.6291804313659668,-0.961251137778163,0.2864990234375,0.09107298403978348,-9.36,5.309942857142858e-05,10768,3950.42,0.021239771428571433,0.20330402348190546,0.00071927946,,
5517312,6450,2694,855,-0.002070000860840082,0.5331995487213135,-0.9713529627770185,0.2958984375,0.09674254059791565,-9.42,5.302628571428572e-05,10772,3950.18,0.02121051428571429,0.19229794200509787,0.0006975697,,
5519360,6452,2695,855,-0.0018917566339951009,0.5982982516288757,-0.9777173604816198,0.29931640625,0.08644897490739822,-9.47,5.295314285714287e-05,10776,3946.61,0.021181257142857148,0.2329825609922409,0.000845277,,
