rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length,train/loss,train/n_updates,train/learning_rate
-19.76,652,1260,276832,0.01,424,1085.04,,,0.0043318672105669975,44207,0.0001
-19.75,651,1264,277918,0.01,426,1086.53,,,0.008615300990641117,44479,0.0001
-19.72,651,1268,279154,0.01,428,1096.94,,,0.005922942887991667,44788,0.0001
-19.66,650,1272,280390,0.01,430,1106.93,,,0.01126986276358366,45097,0.0001
-19.56,650,1276,281768,0.01,433,1123.31,,,0.013867098838090897,45441,0.0001
-19.52,649,1280,282974,0.01,435,1131.86,,,0.010964760556817055,45743,0.0001
-19.49,649,1284,284156,0.01,437,1142.29,,,0.011084625497460365,46038,0.0001
-19.47,648,1288,285107,0.01,439,1139.94,,,0.015913380309939384,46276,0.0001
-19.47,648,1292,286237,0.01,441,1146.1,,,0.013207240961492062,46559,0.0001
-19.43,648,1296,287285,0.01,443,1149.59,,,0.004747954197227955,46821,0.0001
-19.4,647,1300,288279,0.01,444,1149.89,,,0.006888728588819504,47069,0.0001
-19.37,647,1304,289429,0.01,447,1153.07,,,0.01140521839261055,47357,0.0001
-19.37,647,1308,290620,0.01,449,1155.59,,,0.01617272198200226,47654,0.0001
-19.4,646,1312,291651,0.01,451,1150.07,,,0.01779412105679512,47912,0.0001
-19.42,646,1316,292840,0.01,453,1146.97,,,0.004565900191664696,48209,0.0001
-19.4,645,1320,293949,0.01,455,1152.81,,,0.016258154064416885,48487,0.0001
-19.38,645,1324,295058,0.01,457,1155.01,,,0.01163504458963871,48764,0.0001
-19.36,645,1328,296072,0.01,458,1153.0,,,0.021110471338033676,49017,0.0001
