time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/n_updates,train/clip_fraction,train/entropy_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,rollout/ep_rew_mean,train/value_loss,eval/mean_ep_length,eval/mean_reward
247808,951,121,260,949.73,0.0024628744,480,0.0419921875,-1.3706585243344307,0.1,0.00025,-0.0019157999486196786,0.9514102339744568,0.0802566409111023,-20.66,0.19947744067758322,,
249856,951,122,262,947.99,0.0028141253,484,0.0257568359375,-1.323355793952942,0.1,0.00025,-0.0010438512254040688,0.9641451835632324,0.05516519397497177,-20.68,0.18307076301425695,,
250000,,,,,0.0018680162,488,0.1204833984375,-1.3332293331623077,0.1,0.00025,-0.0015729983570054173,0.9693832993507385,0.0702340304851532,,0.15066306106746197,764.0,-21.0
251904,933,123,269,954.36,,,,,,,,,,-20.64,,,
253952,933,124,272,949.76,0.0008832629,492,0.028564453125,-1.3375715911388397,0.1,0.00025,7.969792932271957e-05,0.9509639739990234,0.07276429235935211,-20.67,0.2187408274039626,,
256000,933,125,274,957.4,0.0023855423,496,0.042236328125,-1.314007818698883,0.1,0.00025,-4.001581692136824e-05,0.9720162749290466,0.07962729036808014,-20.62,0.1334172454662621,,
258048,933,126,276,958.22,0.00088153384,500,0.0240478515625,-1.3755341842770576,0.1,0.00025,0.000515946710947901,0.9558330774307251,0.11495959758758545,-20.61,0.21379302721470594,,
260096,933,127,278,949.93,0.003930323,504,0.0574951171875,-1.3240888118743896,0.1,0.00025,0.00037034391425549984,0.9673933386802673,0.103392593562603,-20.63,0.15259827114641666,,
262144,934,128,280,944.14,0.0005579629,508,0.0054931640625,-1.3754413723945618,0.1,0.00025,-0.00011448486475273967,0.9727349877357483,0.059146907180547714,-20.67,0.1753607578575611,,
264192,934,129,282,958.69,0.0022776397,512,0.0255126953125,-1.339356578886509,0.1,0.00025,0.0006806445599067956,0.9446403980255127,0.07712741941213608,-20.64,0.20008635986596346,,
266240,934,130,284,956.26,0.0011219952,516,0.0135498046875,-1.3783935531973839,0.1,0.00025,-0.00042596980347298086,0.9692872762680054,0.17477579414844513,-20.65,0.1821173457428813,,
268288,934,131,287,951.19,0.00026892257,520,0.0169677734375,-1.33902458101511,0.1,0.00025,0.0003761789412237704,0.9400237202644348,0.07402842491865158,-20.66,0.18500970304012299,,
270336,934,132,289,945.31,0.0006458286,524,0.0443115234375,-1.3596245869994164,0.1,0.00025,0.0009428364573977888,0.9803968667984009,0.09586577862501144,-20.68,0.23191299382597208,,
272384,934,133,291,950.63,0.0034933777,528,0.1505126953125,-1.3490595296025276,0.1,0.00025,-0.0028051690896973014,0.9273127913475037,0.0789962112903595,-20.66,0.23060810752213,,
274432,934,134,293,946.11,0.0035339599,532,0.1114501953125,-1.327775463461876,0.1,0.00025,-0.0007300237775780261,0.9674788117408752,0.08590301871299744,-20.66,0.18007052037864923,,
276480,935,135,295,953.71,0.001679133,536,0.040283203125,-1.2802525237202644,0.1,0.00025,-0.0002546411706134677,0.9553337097167969,0.07551241666078568,-20.66,0.1742258188314736,,
278528,935,136,297,947.12,0.0002389572,540,0.006103515625,-1.267553836107254,0.1,0.00025,-8.47720802994445e-05,0.9697628021240234,0.08221761882305145,-20.69,0.18951599951833487,,
280576,935,137,299,957.64,0.0036121178,544,0.09326171875,-1.2915209010243416,0.1,0.00025,-0.0008240987663157284,0.953588604927063,0.10848528891801834,-20.66,0.2502239365130663,,
282624,935,138,302,953.98,0.0015171336,548,0.07373046875,-1.293707624077797,0.1,0.00025,0.0023657831479795277,0.9572645425796509,0.09710129350423813,-20.66,0.3687218055129051,,
284672,935,139,304,959.28,0.0005446275,552,0.0140380859375,-1.26245579123497,0.1,0.00025,0.0003439170541241765,0.9495404362678528,0.10678879916667938,-20.62,0.22475124802440405,,
286720,935,140,306,960.77,0.002261564,556,0.0294189453125,-1.2583574801683426,0.1,0.00025,-0.000979679636657238,0.9713155031204224,0.06832759082317352,-20.6,0.15673814062029123,,
288768,936,141,308,958.75,0.0010422322,560,0.017578125,-1.2523842751979828,0.1,0.00025,0.000313056429149583,0.9602264761924744,0.07442551851272583,-20.59,0.17435843404382467,,
290816,936,142,310,960.44,0.0046119206,564,0.0958251953125,-1.2064359560608864,0.1,0.00025,-0.0014310976257547736,0.9570171236991882,0.08220727741718292,-20.59,0.1980496384203434,,
