time/episodes,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
948,761,204054,267,0.79798654,894.88,-20.69,,,0.0001,26013,0.012713855132460594
952,761,204964,269,0.79708564,896.11,-20.68,,,0.0001,26240,0.014897430315613747
956,760,205855,270,0.7962035499999999,899.08,-20.66,,,0.0001,26463,0.007925925776362419
960,760,206717,271,0.79535017,901.88,-20.64,,,0.0001,26679,0.016676828265190125
964,759,207615,273,0.7944611499999998,903.73,-20.63,,,0.0001,26903,0.012167784385383129
968,759,208421,274,0.7936632100000001,900.1,-20.63,,,0.0001,27105,0.0053770761005580425
972,758,209336,275,0.79275736,904.03,-20.62,,,0.0001,27333,0.00376071035861969
976,758,210216,277,0.79188616,904.27,-20.63,,,0.0001,27553,0.008534073829650879
980,757,211105,278,0.7910060500000001,904.65,-20.65,,,0.0001,27776,0.004172421060502529
984,756,211947,280,0.7901724700000001,902.74,-20.65,,,0.0001,27986,0.011408157646656036
988,756,212789,281,0.7893388900000001,900.3,-20.63,,,0.0001,28197,0.006282556336373091
992,755,213644,282,0.7884924400000001,899.79,-20.63,,,0.0001,28410,0.006382748018950224
996,755,214539,284,0.78760639,903.71,-20.62,,,0.0001,28634,0.009030749090015888
1000,754,215441,285,0.78671341,905.22,-20.6,,,0.0001,28860,0.01519039086997509
1004,754,216303,286,0.78586003,904.29,-20.62,,,0.0001,29075,0.007124337367713451
1008,753,217199,288,0.7849729900000001,903.59,-20.63,,,0.0001,29299,0.009707193821668625
1012,753,218075,289,0.7841057499999999,902.76,-20.62,,,0.0001,29518,0.006077182479202747
1016,752,218918,290,0.7832711800000001,899.78,-20.6,,,0.0001,29729,0.011483008041977882
1020,751,219797,292,0.78240097,899.46,-20.61,,,0.0001,29949,0.019725237041711807
1024,751,220582,293,0.78162382,894.53,-20.64,,,0.0001,30145,0.010837411507964134
