rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
-14.6,1157542,3377.26,248,2288,4661,0.01,0.0001,0.003744096728041768,286885,,
-14.61,1161177,3380.74,248,2292,4674,0.01,0.0001,0.008338536135852337,287794,,
-14.59,1164363,3362.75,248,2296,4687,0.01,0.0001,0.009652434848248959,288590,,
-14.52,1168240,3385.82,248,2300,4702,0.01,0.0001,0.0051550064235925674,289559,,
-14.66,1171146,3349.25,248,2304,4713,0.01,0.0001,0.010648287832736969,290286,,
-14.79,1174198,3315.41,248,2308,4725,0.01,0.0001,0.011535060591995716,291049,,
-14.79,1177310,3305.93,248,2312,4737,0.01,0.0001,0.016959931701421738,291827,,
-14.83,1180383,3304.17,248,2316,4748,0.01,0.0001,0.013140758499503136,292595,,
-14.81,1183166,3283.71,248,2320,4758,0.01,0.0001,0.009819678962230682,293291,,
-14.76,1186686,3304.57,248,2324,4772,0.01,0.0001,0.005847196094691753,294171,,
-14.75,1189757,3323.34,248,2328,4784,0.01,0.0001,0.017640866339206696,294939,,
-14.72,1193467,3326.44,248,2332,4798,0.01,0.0001,0.010917467065155506,295866,,
-14.7,1196681,3325.35,248,2336,4811,0.01,0.0001,0.006848528515547514,296670,,
,1200000,,,,,0.01,0.0001,0.006704884581267834,297499,3475.5,-14.85
-14.65,1200013,3334.77,246,2340,4868,0.01,0.0001,0.00911027379333973,297503,,
-14.62,1203742,3340.91,246,2344,4883,0.01,0.0001,0.006504717282950878,298435,,
-14.57,1207325,3344.74,246,2348,4896,0.01,0.0001,0.005572077818214893,299331,,
-14.58,1210588,3349.94,246,2352,4908,0.01,0.0001,0.0075385682284832,300146,,
-14.58,1214153,3361.0,246,2356,4922,0.01,0.0001,0.0038531776517629623,301038,,
-14.45,1218186,3401.94,246,2360,4937,0.01,0.0001,0.006473947316408157,302046,,
-14.52,1221497,3404.43,246,2364,4948,0.01,0.0001,0.010355488397181034,302874,,
-14.54,1225137,3411.81,246,2368,4961,0.01,0.0001,0.007952326908707619,303784,,
-14.59,1228418,3415.16,247,2372,4972,0.01,0.0001,0.00597479147836566,304604,,
-14.54,1232198,3430.92,247,2376,4985,0.01,0.0001,0.0066149793565273285,305549,,
-14.53,1235327,3418.27,247,2380,4995,0.01,0.0001,0.012306001037359238,306331,,
-14.43,1238837,3421.15,247,2384,5007,0.01,0.0001,0.010452374815940857,307209,,
-14.6,1241989,3399.73,247,2388,5018,0.01,0.0001,0.009761311113834381,307997,,
-14.64,1245702,3403.21,247,2392,5031,0.01,0.0001,0.0037045583594590425,308925,,
-14.65,1249050,3409.9,247,2396,5043,0.01,0.0001,0.006509065628051758,309762,,
-14.76,1252307,3385.29,247,2400,5055,0.01,0.0001,0.004173644818365574,310576,,
-14.79,1255055,3378.83,247,2404,5066,0.01,0.0001,0.010948142036795616,311263,,
-14.66,1258938,3412.2,247,2408,5082,0.01,0.0001,0.006763657554984093,312234,,
-14.63,1262195,3417.79,247,2412,5094,0.01,0.0001,0.008444356732070446,313048,,
-14.46,1266015,3447.72,247,2416,5109,0.01,0.0001,0.01062924787402153,314003,,
-14.45,1269541,3477.42,247,2420,5123,0.01,0.0001,0.007189054042100906,314885,,
-14.46,1273549,3496.58,247,2424,5138,0.01,0.0001,0.009311472997069359,315887,,
-14.54,1276657,3498.17,247,2428,5151,0.01,0.0001,0.009493710473179817,316664,,
-14.63,1279944,3481.08,247,2432,5163,0.01,0.0001,0.010233740322291851,317485,,
-14.62,1283590,3498.07,247,2436,5177,0.01,0.0001,0.04563121497631073,318397,,
-14.41,1287944,3538.67,247,2440,5194,0.01,0.0001,0.014746534638106823,319485,,
-14.46,1291293,3523.44,247,2444,5208,0.01,0.0001,0.008589204400777817,320323,,
-14.47,1294582,3511.73,247,2448,5220,0.01,0.0001,0.007455586921423674,321145,,
-14.3,1298311,3530.4,248,2452,5235,0.01,0.0001,0.008226267993450165,322077,,
,1300000,,,,,0.01,0.0001,0.006518743000924587,322499,3465.7,-12.55
-14.12,1301901,3531.2,245,2456,5293,0.01,0.0001,0.011415773071348667,322975,,
-14.16,1305115,3498.39,245,2460,5306,0.01,0.0001,0.007585817016661167,323778,,
