time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/clip_range,train/loss,eval/mean_reward,eval/mean_ep_length
915,161792,79,176,312,0.0455322265625,-1.644469678401947,0.00024429485714285717,0.9799118638038635,0.10473303613252938,-0.0005562571313930675,-20.68,929.83,0.0019031537,0.09771794285714286,0.029343850910663605,,
915,163840,80,178,316,0.1109619140625,-1.6371107399463654,0.0002442217142857143,0.9658273458480835,0.16300022858195007,-0.0026230987859889865,-20.72,927.88,0.0019930396,0.09768868571428573,0.08074722439050674,,
916,165888,81,181,320,0.015869140625,-1.6437085159122944,0.0002441485714285714,0.9618570804595947,0.20584903936833143,0.0001497985067544505,-20.69,934.27,0.0007935326,0.09765942857142858,0.08615319430828094,,
916,167936,82,183,324,0.108154296875,-1.6345653608441353,0.0002440754285714286,0.9591599106788635,0.14858612907119095,-0.001269480781047605,-20.61,937.95,0.002186224,0.09763017142857144,0.04881887137889862,,
916,169984,83,185,328,0.047119140625,-1.643042840063572,0.00024400228571428573,0.9750013947486877,0.13973518693819642,-0.0004181941912975162,-20.62,938.57,0.0022171438,0.0976009142857143,0.08776731044054031,,
916,172032,84,187,332,0.0406494140625,-1.6376988738775253,0.00024392914285714285,0.9547654986381531,0.17062348825857043,-0.0010571046150289476,-20.6,942.6,0.0017844124,0.09757165714285715,0.06808552891016006,,
916,174080,85,189,336,0.01904296875,-1.6241978034377098,0.000243856,0.9681687951087952,0.14662066684104502,-0.0006949115195311606,-20.62,936.18,0.0006678254,0.0975424,0.07192140817642212,,
916,176128,86,192,340,0.07763671875,-1.6310215182602406,0.00024378285714285713,0.9619194269180298,0.1612545046955347,-0.0024212794669438154,-20.59,931.72,0.002235903,0.09751314285714285,0.0625598207116127,,
916,178176,87,194,344,0.026123046875,-1.594279795885086,0.00024370971428571428,0.9739586114883423,0.11822695296723396,-8.374692697543651e-05,-20.59,929.83,0.0011235953,0.09748388571428572,0.07099977135658264,,
916,180224,88,196,348,0.0228271484375,-1.608729250729084,0.00024363657142857144,0.9680954813957214,0.19201101595535874,-9.976576257031411e-05,-20.57,924.72,0.0018548082,0.09745462857142857,0.08477146923542023,,
916,182272,89,198,352,0.043212890625,-1.5661575980484486,0.00024356342857142856,0.9629620313644409,0.15448067733086646,-0.0004904546512989327,-20.57,928.63,0.0009721969,0.09742537142857144,0.03504668176174164,,
916,184320,90,201,356,0.0565185546875,-1.5645331181585789,0.00024349028571428571,0.9630061388015747,0.16843511164188385,-0.0005406064010458067,-20.57,931.56,0.0021441747,0.09739611428571429,0.07158013433218002,,
916,186368,91,203,360,0.07421875,-1.5664189420640469,0.00024341714285714287,0.9615890383720398,0.14471318060532212,-4.573157639242709e-05,-20.54,937.77,0.0008821354,0.09736685714285714,0.057763565331697464,,
916,188416,92,205,364,0.0474853515625,-1.558567363768816,0.00024334400000000002,0.9639977216720581,0.18266921630129218,-5.76064339838922e-05,-20.58,938.33,0.0021021827,0.09733760000000001,0.06956441700458527,,
916,190464,93,207,368,0.057373046875,-1.5709789544343948,0.00024327085714285715,0.9739605188369751,0.10558665939606726,-0.0010333039244869724,-20.62,941.02,0.0010369201,0.09730834285714286,0.03410375118255615,,
916,192512,94,209,372,0.0482177734375,-1.5744870081543922,0.0002431977142857143,0.9651802778244019,0.16491864994168282,-0.0014474419294856489,-20.66,936.15,0.0012979052,0.09727908571428573,0.07543333619832993,,
916,194560,95,212,376,0.0562744140625,-1.5527854450047016,0.00024312457142857145,0.972195565700531,0.11335133574903011,-0.0009241575899068266,-20.68,932.89,0.0030969877,0.09724982857142858,0.0360075905919075,,
917,196608,96,214,380,0.0323486328125,-1.5702646411955357,0.00024305142857142858,0.9627872109413147,0.17907978035509586,-0.0009176888270303607,-20.68,935.93,0.0015077796,0.09722057142857143,0.05752243474125862,,
917,198656,97,216,384,0.0482177734375,-1.5424159429967403,0.0002429782857142857,0.9682073593139648,0.16727574728429317,-0.0009428186749573797,-20.7,941.24,0.0023694765,0.09719131428571429,0.05585746839642525,,
917,200704,98,218,388,0.031494140625,-1.5256186947226524,0.00024290514285714286,0.9722646474838257,0.1777377869002521,-0.0002527492761146277,-20.73,937.1,0.0015866548,0.09716205714285714,0.04351891204714775,,
917,202752,99,220,392,0.07763671875,-1.5334961973130703,0.000242832,0.958046019077301,0.16336087579838932,-0.002609792078146711,-20.72,948.47,0.002021653,0.0971328,0.04869137704372406,,
917,204800,100,223,396,0.043701171875,-1.493791550397873,0.00024275885714285713,0.960963785648346,0.20660375989973545,-0.0011638562282314524,-20.7,944.81,0.0013930755,0.09710354285714286,0.06771381199359894,,
917,206848,101,225,400,0.030029296875,-1.5068983733654022,0.0002426857142857143,0.9608427286148071,0.18331997329369187,0.0005776010657427832,-20.68,948.5,0.001760396,0.09707428571428572,0.05870124697685242,,
917,208896,102,227,404,0.0994873046875,-1.4723501093685627,0.00024261257142857144,0.9577846527099609,0.1456561405211687,-0.000700126554875169,-20.65,950.38,0.0013178918,0.09704502857142858,0.03725383058190346,,
917,210944,103,229,408,0.027587890625,-1.4917494170367718,0.00024253942857142857,0.9714672565460205,0.17095162346959114,0.00010742436279542744,-20.67,947.98,0.0017773325,0.09701577142857143,0.08694349974393845,,
918,212992,104,232,412,0.0498046875,-1.4827953912317753,0.00024246628571428572,0.9686000943183899,0.11401002551428974,-0.0010478171752765775,-20.67,941.06,0.001542455,0.0969865142857143,0.03447340428829193,,
918,215040,105,234,416,0.0565185546875,-1.4409339539706707,0.00024239314285714287,0.9504018425941467,0.20837533427402377,-0.0006045743357390165,-20.67,939.61,0.0021335417,0.09695725714285715,0.06929727643728256,,
918,217088,106,236,420,0.039306640625,-1.482315767556429,0.00024232000000000002,0.9599515199661255,0.15581019804812968,0.0004745976038975641,-20.64,950.24,0.0016077762,0.09692800000000001,0.06279212981462479,,
918,219136,107,238,424,0.03955078125,-1.4147886000573635,0.00024224685714285715,0.9617373943328857,0.14774479437619448,-0.0016133519529830664,-20.65,950.78,0.0012987517,0.09689874285714287,0.0515897274017334,,
918,221184,108,240,428,0.0728759765625,-1.4956630691885948,0.0002421737142857143,0.9686816930770874,0.1600189965683967,-0.0017202241288032383,-20.64,951.49,0.0021065501,0.09686948571428572,0.06663081049919128,,
918,223232,109,243,432,0.079345703125,-1.4145967103540897,0.00024210057142857146,0.9428349733352661,0.20092235878109932,-0.0016559079522266984,-20.6,959.21,0.0017708337,0.09684022857142859,0.08207420259714127,,
918,225280,110,245,436,0.044189453125,-1.4820505119860172,0.00024202742857142855,0.969656229019165,0.1366987805813551,-0.0008281953923869878,-20.57,959.87,0.0018333687,0.09681097142857142,0.04411126673221588,,
918,227328,111,247,440,0.1617431640625,-1.4519799947738647,0.0002419542857142857,0.9581415057182312,0.16575624397955835,-0.0009529553935863078,-20.6,954.2,0.0038637621,0.09678171428571429,0.056871891021728516,,
918,229376,112,249,444,0.069580078125,-1.4482495076954365,0.00024188114285714286,0.9706799387931824,0.13493710616603494,0.0007972777966642752,-20.64,949.55,0.001733576,0.09675245714285714,0.047720737755298615,,
918,231424,113,252,448,0.08251953125,-1.4759683832526207,0.000241808,0.955121636390686,0.17412294633686543,-0.00037730006442870945,-20.62,946.04,0.0015640487,0.09672320000000001,0.05947134271264076,,
918,233472,114,254,452,0.0850830078125,-1.445418018847704,0.00024173485714285714,0.9618244767189026,0.16668293718248606,-0.0023403130544465967,-20.61,947.28,0.0022471698,0.09669394285714286,0.07223692536354065,,
918,235520,115,256,456,0.0654296875,-1.487751867622137,0.0002416617142857143,0.9753793478012085,0.11972990818321705,-0.0014290723775047809,-20.61,952.38,0.0022386583,0.09666468571428571,0.048346005380153656,,
918,237568,116,258,460,0.061279296875,-1.4468747489154339,0.00024158857142857144,0.9475164413452148,0.18396105663850904,-0.0012383762368699536,-20.59,953.9,0.0016980364,0.09663542857142858,0.10169157385826111,,
918,239616,117,260,464,0.0611572265625,-1.4782536029815674,0.00024151542857142857,0.9594641923904419,0.16357425367459655,-0.0016403164190705866,-20.6,949.15,0.0012773073,0.09660617142857143,0.07070377469062805,,
918,241664,118,263,468,0.032958984375,-1.4463435672223568,0.00024144228571428572,0.9515942335128784,0.19599965028464794,-0.00045308578410185874,-20.61,941.48,0.0019108865,0.0965769142857143,0.07558508217334747,,
918,243712,119,265,472,0.0364990234375,-1.4657555967569351,0.00024136914285714288,0.969142735004425,0.15752408257685602,-0.0001085857511498034,-20.63,937.14,0.0022843832,0.09654765714285715,0.07456570118665695,,
918,245760,120,267,476,0.0540771484375,-1.4757482297718525,0.00024129600000000003,0.9609730839729309,0.1364810757804662,-0.00034859534935094416,-20.62,945.39,0.0015540182,0.0965184,0.09409857541322708,,
918,247808,121,269,480,0.0772705078125,-1.4323299750685692,0.00024122285714285715,0.9683666825294495,0.19826782261952758,-0.0007970802398631349,-20.63,938.54,0.0013376585,0.09648914285714287,0.08413615822792053,,
918,249856,122,272,484,0.0361328125,-1.4486308991909027,0.00024114971428571428,0.9460810422897339,0.18587071541696787,-0.0008708471286809072,-20.63,942.24,0.0012303854,0.09645988571428571,0.05547110363841057,,
,250000,,,488,0.10107421875,-1.4280629567801952,0.00024107657142857143,0.9718026518821716,0.1408568862825632,-0.0018545985221862793,,,0.0024394842,0.09643062857142858,0.05178367346525192,-21.0,792.45
899,251904,123,279,,,,,,,,-20.61,942.8,,,,,
900,253952,124,282,492,0.0948486328125,-1.4455066062510014,0.00024100342857142856,0.9653218984603882,0.14397140662185848,-0.0014449895825237036,-20.6,945.76,0.0028734803,0.09640137142857143,0.05016796290874481,,
900,256000,125,284,496,0.018798828125,-1.4271215461194515,0.0002409302857142857,0.976124107837677,0.09743570815771818,0.000302856249618344,-20.69,937.88,0.0016566433,0.0963721142857143,0.020936500281095505,,
900,258048,126,286,500,0.0872802734375,-1.4729771241545677,0.00024085714285714286,0.9578605890274048,0.21687994478270411,-0.00033835879003163427,-20.67,936.91,0.0006698703,0.09634285714285715,0.07004931569099426,,
900,260096,127,288,504,0.033447265625,-1.4417866803705692,0.000240784,0.9664084315299988,0.13740026019513607,-0.0006712799804517999,-20.63,934.95,0.0019644871,0.0963136,0.047186486423015594,,
900,262144,128,290,508,0.08642578125,-1.4368050806224346,0.00024071085714285714,0.9781208038330078,0.12357984599657357,-0.0010671176860341802,-20.67,932.31,0.002530245,0.09628434285714287,0.07453159987926483,,
900,264192,129,293,512,0.0404052734375,-1.4753731898963451,0.0002406377142857143,0.9813105463981628,0.10106649575755,-0.0008513601278536953,-20.68,935.96,0.0012685074,0.09625508571428572,0.027379026636481285,,
