time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
3125,99.36,221184,297.44,70,108,0.0218505859375,0.3829852342605591,1786.34716796875,428,-0.3574220407754183,0.001731824391754344,3275.607208251953,0.2,0.00025,0.0069011096,,
3125,99.12,223232,296.48,71,109,0.0078125,0.21347999572753906,1873.17626953125,432,-0.3013207484036684,0.0013785218470729887,3790.8763732910156,0.2,0.00025,0.0013594178,,
3126,98.16,225280,292.64,72,110,0.03564453125,0.25133460760116577,1458.5902099609375,436,-0.3402929548174143,0.00037593745219055563,3077.9430084228516,0.2,0.00025,0.0024532117,,
3127,98.72,227328,294.88,72,111,0.025390625,0.22852951288223267,1639.0120849609375,440,-0.3686112966388464,0.001074629049981013,3508.595977783203,0.2,0.00025,0.0026123223,,
3128,98.48,229376,293.92,73,112,0.004638671875,0.203111469745636,1592.8316650390625,444,-0.29717427492141724,-0.0008280460024252534,3339.3282775878906,0.2,0.00025,0.0011840947,,
6023,98.24,231424,292.96,38,113,0.024169921875,0.30526602268218994,1166.5709228515625,448,-0.3507267218083143,0.0018942179740406573,2764.9546508789062,0.2,0.00025,0.0029843864,,
6023,98.08,233472,292.32,38,114,0.0322265625,0.2882620096206665,1357.0328369140625,452,-0.4173046927899122,0.002131782879587263,2929.950469970703,0.2,0.00025,0.00301715,,
6024,98.32,235520,293.28,39,115,0.0572509765625,0.3991584777832031,1284.5894775390625,456,-0.3771557603031397,-0.0002390277513768524,2935.2677154541016,0.2,0.00025,0.007233555,,
6025,98.0,237568,292.0,39,116,0.010986328125,0.2471892237663269,1868.7662353515625,460,-0.35654560662806034,0.0009178982872981578,3519.161331176758,0.2,0.00025,0.0014988307,,
6026,98.24,239616,292.96,39,117,0.056884765625,0.2827686071395874,1519.525390625,464,-0.4147106148302555,0.0025064849760383368,3303.6427001953125,0.2,0.00025,0.011174703,,
6026,98.24,241664,292.96,40,118,0.0494384765625,0.2539471983909607,1699.7509765625,468,-0.39807737804949284,0.001615217246580869,3802.936279296875,0.2,0.00025,0.0071646785,,
6027,97.92,243712,291.68,40,119,0.02685546875,0.24832111597061157,1697.8297119140625,472,-0.3505320455878973,-0.00014691511751152575,3489.3850860595703,0.2,0.00025,0.004842408,,
6028,98.16,245760,292.64,40,120,0.0096435546875,0.2731485366821289,1633.4410400390625,476,-0.3143763951957226,-0.0007903359364718199,3116.4680786132812,0.2,0.00025,0.0026298116,,
