time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
3961,5.16,178176,44,134.69,87,-0.004824261530302465,344,0.00025,0.0038983896,0.2,0.7335320711135864,0.33207537420094013,0.13812334835529327,0.033447265625,-0.583703774958849,,
3964,5.32,180224,45,137.76,88,-0.0034401552693452686,348,0.00025,0.006059253,0.2,0.6629512310028076,0.3961337972432375,0.17181381583213806,0.0421142578125,-0.5907882861793041,,
3967,5.2,182272,45,136.34,89,-0.0012499510776251554,352,0.00025,0.003295958,0.2,0.6689788103103638,0.3798521291464567,0.17607149481773376,0.080810546875,-0.5915798991918564,,
3969,5.15,184320,46,135.35,90,-0.003033924789633602,356,0.00025,0.0051225494,0.2,0.7262243032455444,0.3583038169890642,0.17521989345550537,0.0947265625,-0.6052151769399643,,
3971,5.09,186368,46,133.94,91,-0.005150407552719116,360,0.00025,0.009118337,0.2,0.697975754737854,0.3498963098973036,0.14047467708587646,0.1185302734375,-0.6040685959160328,,
3973,5.01,188416,47,132.37,92,-0.002500857866834849,364,0.00025,0.012559775,0.2,0.6625786423683167,0.3853370603173971,0.16828249394893646,0.077880859375,-0.5929200202226639,,
3975,4.97,190464,47,131.66,93,0.0007788405637256801,368,0.00025,0.002918741,0.2,0.7359228730201721,0.30854929611086845,0.1424761563539505,0.08642578125,-0.5913862399756908,,
3977,4.98,192512,48,133.04,94,-0.0036353145260363817,372,0.00025,0.004569822,0.2,0.7058769464492798,0.3435384649783373,0.1505902260541916,0.0257568359375,-0.586600411683321,,
3979,5.03,194560,48,133.85,95,0.00017327778914477676,376,0.00025,0.008426172,0.2,0.6195340156555176,0.4706998746842146,0.18898987770080566,0.060546875,-0.5657409504055977,,
3981,5.11,196608,49,133.46,96,-0.0038954842020757496,380,0.00025,0.0072380607,0.2,0.6394621133804321,0.49167085252702236,0.21834467351436615,0.082763671875,-0.6013699993491173,,
3985,5.27,198656,49,136.57,97,-0.0035462893138173968,384,0.00025,0.0064260904,0.2,0.6006737947463989,0.5063071735203266,0.20684084296226501,0.0711669921875,-0.586756095290184,,
,,200000,,,,-0.0033437494712416083,388,0.00025,0.0038474125,0.2,0.6955842971801758,0.42589981108903885,0.2167329341173172,0.041748046875,-0.6047792658209801,148.9,5.95
3804,5.36,200704,52,137.51,98,,,,,,,,,,,,
3808,5.41,202752,53,138.59,99,-0.0034844112815335393,392,0.00025,0.004280612,0.2,0.7220152616500854,0.32811591774225235,0.15030112862586975,0.0428466796875,-0.6016508974134922,,
3811,5.38,204800,53,138.01,100,-0.0014425466652028263,396,0.00025,0.008206436,0.2,0.7496926188468933,0.33569315634667873,0.15260718762874603,0.069091796875,-0.6060109548270702,,
3816,5.28,206848,54,134.64,101,-0.000990644854027778,400,0.00025,0.010227861,0.2,0.6798306703567505,0.40968935936689377,0.19178251922130585,0.0877685546875,-0.6137421354651451,,
3820,5.29,208896,54,134.37,102,-0.0030819586536381394,404,0.00025,0.00577488,0.2,0.7171531915664673,0.3613513261079788,0.18276046216487885,0.0498046875,-0.5907207056879997,,
3824,5.25,210944,55,136.21,103,-0.0013164994306862354,408,0.00025,0.005618889,0.2,0.7433146834373474,0.3459761440753937,0.1660768985748291,0.0457763671875,-0.5501562245190144,,
3827,5.21,212992,55,134.82,104,-0.0007540816441178322,412,0.00025,0.0061517786,0.2,0.8302289843559265,0.3196911532431841,0.12827545404434204,0.0611572265625,-0.5706128403544426,,
3831,5.21,215040,56,136.44,105,-0.0033890127670019865,416,0.00025,0.0053769425,0.2,0.729861855506897,0.42918311804533005,0.21333831548690796,0.0406494140625,-0.5536566264927387,,
3835,5.18,217088,56,135.94,106,-0.003389262972632423,420,0.00025,0.005811398,0.2,0.6743119955062866,0.4139882307499647,0.16993680596351624,0.053955078125,-0.5603724047541618,,
3839,5.16,219136,57,135.67,107,0.0014994479133747518,424,0.00025,0.0058055604,0.2,0.6522184610366821,0.4961834102869034,0.2238387018442154,0.101318359375,-0.5501095168292522,,
3843,5.02,221184,57,134.47,108,-0.004252943486790173,428,0.00025,0.006490006,0.2,0.7009438872337341,0.43181323632597923,0.1765492707490921,0.0694580078125,-0.5525056011974812,,
3846,4.99,223232,58,134.61,109,-0.003099692694377154,432,0.00025,0.0047063157,0.2,0.6972976922988892,0.45972977578639984,0.19319498538970947,0.024658203125,-0.5532666109502316,,
3848,4.89,225280,58,131.95,110,0.0020263824553694576,436,0.00025,0.0044270847,0.2,0.657952606678009,0.4633742980659008,0.21118909120559692,0.0498046875,-0.5387535989284515,,
3851,4.82,227328,59,132.17,111,-0.0022293471556622535,440,0.00025,0.005214504,0.2,0.7075732946395874,0.38509304635226727,0.18597443401813507,0.0650634765625,-0.5764765106141567,,
3855,4.72,229376,59,130.49,112,-0.003925086697563529,444,0.00025,0.0050208396,0.2,0.6942092776298523,0.36140136420726776,0.15232999622821808,0.0341796875,-0.5454124100506306,,
3857,4.78,231424,59,131.27,113,-0.005687141674570739,448,0.00025,0.009465156,0.2,0.7755858898162842,0.31240688636898994,0.14143484830856323,0.0753173828125,-0.5239022523164749,,
3860,4.75,233472,60,130.99,114,-0.002774912747554481,452,0.00025,0.0068647824,0.2,0.7560094594955444,0.4406874757260084,0.20142975449562073,0.0841064453125,-0.5377161912620068,,
3863,4.63,235520,60,127.67,115,-0.00018784013809636235,456,0.00025,0.005458458,0.2,0.7048076391220093,0.4680713191628456,0.22507525980472565,0.0623779296875,-0.5421416386961937,,
3866,4.77,237568,61,128.35,116,-0.002525071147829294,460,0.00025,0.012930205,0.2,0.7115529775619507,0.3959255013614893,0.18689696490764618,0.1151123046875,-0.5131011568009853,,
