time/fps,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/n_updates,train/loss
799,903.23,812,0.82597186,219,175786,-20.44,,,0.0001,18946,0.008399216458201408
798,899.9,816,0.82514917,221,176617,-20.49,,,0.0001,19154,0.004227288067340851
797,902.69,820,0.8242156,222,177560,-20.47,,,0.0001,19389,0.005955342669039965
796,903.83,824,0.82334539,223,178439,-20.48,,,0.0001,19609,0.023991752415895462
795,904.62,828,0.8224880499999999,225,179305,-20.48,,,0.0001,19826,0.007939400151371956
795,907.84,832,0.82157824,226,180224,-20.48,,,0.0001,20055,0.015822725370526314
794,906.4,836,0.820711,227,181100,-20.52,,,0.0001,20274,0.00564703531563282
793,909.01,840,0.8198358400000001,229,181984,-20.51,,,0.0001,20495,0.005233816336840391
792,908.67,844,0.8189141500000001,230,182915,-20.53,,,0.0001,20728,0.008902568370103836
791,910.48,848,0.8180043399999999,232,183834,-20.5,,,0.0001,20958,0.019489698112010956
790,911.53,852,0.8171658099999999,233,184681,-20.49,,,0.0001,21170,0.008851328864693642
789,911.16,856,0.81632332,234,185532,-20.49,,,0.0001,21382,0.02387426234781742
788,914.37,860,0.8153372799999999,236,186528,-20.51,,,0.0001,21631,0.033729732036590576
788,913.56,864,0.8144690499999999,237,187405,-20.52,,,0.0001,21851,0.011522444896399975
787,910.96,868,0.8136651699999999,239,188217,-20.56,,,0.0001,22054,0.005566352512687445
786,911.14,872,0.8128207,240,189070,-20.57,,,0.0001,22267,0.006367236375808716
785,912.34,876,0.8119504900000001,241,189949,-20.56,,,0.0001,22487,0.009741848334670067
785,911.08,880,0.81101593,243,190893,-20.59,,,0.0001,22723,0.024708958342671394
784,909.13,884,0.8102071,244,191710,-20.59,,,0.0001,22927,0.010946553200483322
783,910.95,888,0.8093725300000001,245,192553,-20.58,,,0.0001,23138,0.008336680009961128
782,915.94,892,0.8083854999999999,247,193550,-20.58,,,0.0001,23387,0.011535102501511574
782,914.34,896,0.8075301399999999,248,194414,-20.59,,,0.0001,23603,0.034576233476400375
781,911.18,900,0.8066856699999999,249,195267,-20.6,,,0.0001,23816,0.007837679237127304
780,911.35,904,0.8057590300000002,251,196203,-20.62,,,0.0001,24050,0.025579409673810005
780,906.99,908,0.8049521800000001,252,197018,-20.63,,,0.0001,24254,0.00511033833026886
779,903.45,912,0.8041443399999999,253,197834,-20.66,,,0.0001,24458,0.019559847190976143
778,906.52,916,0.80324245,255,198745,-20.66,,,0.0001,24686,0.007929481565952301
778,903.28,920,0.8023930300000001,256,199603,-20.69,,,0.0001,24900,0.022604061290621758
,,,0.80200099,,200000,,-21.0,765.8,0.0001,24999,0.004238385707139969
763,901.13,924,0.8015653899999999,262,200439,-20.68,,,0.0001,25109,0.010298086330294609
762,899.4,928,0.80074666,263,201266,-20.7,,,0.0001,25316,0.008950401097536087
762,896.02,932,0.7999229800000001,265,202098,-20.72,,,0.0001,25524,0.017276568338274956
761,895.95,936,0.7990636600000001,266,202966,-20.72,,,0.0001,25741,0.01567208394408226
760,893.71,940,0.7982360199999999,267,203802,-20.73,,,0.0001,25950,0.00667207594960928
760,888.81,944,0.79743412,269,204612,-20.75,,,0.0001,26152,0.006963452324271202
759,887.55,948,0.7965589599999998,270,205496,-20.74,,,0.0001,26373,0.0066559799015522
758,889.69,952,0.7956669700000001,271,206397,-20.74,,,0.0001,26599,0.011664933525025845
758,890.17,956,0.79480765,273,207265,-20.75,,,0.0001,26816,0.004426699131727219
757,884.79,960,0.79396318,274,208118,-20.74,,,0.0001,27029,0.03468535095453262
757,884.22,964,0.79310287,275,208987,-20.72,,,0.0001,27246,0.022258929908275604
756,888.55,968,0.79219504,277,209904,-20.71,,,0.0001,27475,0.009706824086606503
756,892.37,972,0.79125949,278,210849,-20.68,,,0.0001,27712,0.014296523295342922
755,892.49,976,0.7903873,280,211730,-20.69,,,0.0001,27932,0.0192912295460701
754,888.79,980,0.7895467899999999,281,212579,-20.69,,,0.0001,28144,0.015958722680807114
754,894.06,984,0.7886112399999999,283,213524,-20.67,,,0.0001,28380,0.005362322088330984
753,895.5,988,0.78774598,284,214398,-20.65,,,0.0001,28599,0.008086500689387321
753,895.4,992,0.78676192,285,215392,-20.63,,,0.0001,28847,0.016416292637586594
752,897.15,996,0.7858570600000001,287,216306,-20.62,,,0.0001,29076,0.020241614431142807
752,898.11,1000,0.78499279,288,217179,-20.61,,,0.0001,29294,0.010168669745326042
751,897.61,1004,0.7840711,290,218110,-20.63,,,0.0001,29527,0.035146620124578476
751,898.22,1008,0.7832543499999999,291,218935,-20.62,,,0.0001,29733,0.012324608862400055
750,901.05,1012,0.78237325,292,219825,-20.62,,,0.0001,29956,0.01081113051623106
750,903.0,1016,0.78141493,294,220793,-20.59,,,0.0001,30198,0.011783840134739876
749,908.17,1020,0.7804457199999999,295,221772,-20.58,,,0.0001,30442,0.010684260167181492
749,909.97,1024,0.7795794699999999,297,222647,-20.58,,,0.0001,30661,0.011582361534237862
748,912.06,1028,0.77871025,298,223525,-20.57,,,0.0001,30881,0.026507019996643066
748,910.36,1032,0.7779291399999999,299,224314,-20.57,,,0.0001,31078,0.011625581420958042
747,910.23,1036,0.7770718000000001,301,225180,-20.56,,,0.0001,31294,0.014774693176150322
747,912.95,1040,0.77618476,302,226076,-20.54,,,0.0001,31518,0.010113765485584736
746,916.04,1044,0.7753125699999999,303,226957,-20.52,,,0.0001,31739,0.013321747072041035
746,915.34,1048,0.77445028,305,227828,-20.54,,,0.0001,31956,0.005155806429684162
745,914.79,1052,0.7735672,306,228720,-20.54,,,0.0001,32179,0.016228659078478813
745,914.67,1056,0.77270986,307,229586,-20.51,,,0.0001,32396,0.028372006490826607
745,915.31,1060,0.77184658,309,230458,-20.51,,,0.0001,32614,0.01331715565174818
744,914.18,1064,0.7710189399999999,310,231294,-20.52,,,0.0001,32823,0.0057416269555687904
744,914.68,1068,0.7701041799999999,312,232218,-20.5,,,0.0001,33054,0.01877305656671524
743,911.59,1072,0.7692409,313,233090,-20.51,,,0.0001,33272,0.011005708016455173
743,912.79,1076,0.76833208,314,234008,-20.5,,,0.0001,33501,0.0033903170842677355
742,913.3,1080,0.7674787000000001,316,234870,-20.51,,,0.0001,33717,0.0030805468559265137
742,909.95,1084,0.7666263100000001,317,235731,-20.52,,,0.0001,33932,0.010843241587281227
741,909.46,1088,0.7657689700000001,318,236597,-20.54,,,0.0001,34149,0.015353660099208355
741,905.22,1092,0.76488292,320,237492,-20.56,,,0.0001,34372,0.008005581796169281
740,902.36,1096,0.7640503300000001,321,238333,-20.57,,,0.0001,34583,0.014135144650936127
740,903.95,1100,0.7631484399999999,323,239244,-20.57,,,0.0001,34810,0.021906012669205666
740,903.56,1104,0.7622416000000001,324,240160,-20.56,,,0.0001,35039,0.013645299710333347
739,909.14,1108,0.76128229,326,241129,-20.54,,,0.0001,35282,0.00993981771171093
739,907.12,1112,0.7604615800000001,327,241958,-20.55,,,0.0001,35489,0.02167910523712635
738,909.27,1116,0.75946267,328,242967,-20.52,,,0.0001,35741,0.01827058009803295
738,905.76,1120,0.7585766199999999,330,243862,-20.52,,,0.0001,35965,0.012534258887171745
737,907.47,1124,0.75767572,331,244772,-20.52,,,0.0001,36192,0.0098362285643816
737,909.77,1128,0.75674314,333,245714,-20.51,,,0.0001,36428,0.00789579190313816
736,914.78,1132,0.75583729,334,246629,-20.49,,,0.0001,36657,0.009691232815384865
736,915.66,1136,0.7549552,336,247520,-20.49,,,0.0001,36879,0.005944477394223213
