time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/exploration_rate,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
72574,66,888,0.4,1084,0.8276367500000003,84.89,0.0034949311520904303,0.0001,5643,,
72996,67,892,0.48,1076,0.8266344999999999,85.54,0.002536974148824811,0.0001,5748,,
73346,68,896,0.51,1070,0.8258032500000002,84.99,0.006031855475157499,0.0001,5836,,
73643,69,900,0.5,1065,0.8250978750000002,84.4,0.0178050696849823,0.0001,5910,,
73996,69,904,0.56,1058,0.8242595000000001,85.03,0.0200808122754097,0.0001,5998,,
74364,70,908,0.58,1051,0.8233854999999998,85.03,0.004498290363699198,0.0001,6090,,
74755,71,912,0.6,1045,0.8224568750000003,85.33,0.007628578692674637,0.0001,6188,,
75086,72,916,0.61,1040,0.82167075,84.95,0.04921397194266319,0.0001,6271,,
75426,72,920,0.6,1035,0.82086325,85.41,0.010948212817311287,0.0001,6356,,
75853,73,924,0.66,1027,0.8198491250000002,85.8,0.06316930055618286,0.0001,6463,,
76229,74,928,0.68,1021,0.8189561249999998,86.16,0.07210826873779297,0.0001,6557,,
76581,75,932,0.7,1016,0.818120125,86.63,0.0060260361060500145,0.0001,6645,,
76910,76,936,0.73,1010,0.8173387499999999,87.09,0.05664347857236862,0.0001,6727,,
77184,76,940,0.73,1007,0.8166880000000002,86.69,0.032321780920028687,0.0001,6795,,
77592,77,944,0.71,1001,0.8157189999999997,87.0,0.01613631471991539,0.0001,6897,,
77925,78,948,0.72,996,0.814928125,86.97,0.017850784584879875,0.0001,6981,,
78311,78,952,0.74,991,0.814011375,87.77,0.0023111130576580763,0.0001,7077,,
78668,79,956,0.74,986,0.8131635000000002,87.9,0.004474423825740814,0.0001,7166,,
79012,80,960,0.73,982,0.8123464999999999,87.7,0.028169935569167137,0.0001,7252,,
79400,81,964,0.77,978,0.8114250000000003,88.18,0.003357107285410166,0.0001,7349,,
79719,81,968,0.76,974,0.8106673749999997,88.13,0.019085850566625595,0.0001,7429,,
80097,82,972,0.83,969,0.8097696249999998,88.68,0.033735159784555435,0.0001,7524,,
80479,83,976,0.87,964,0.8088623750000001,89.29,0.003137412015348673,0.0001,7619,,
80773,83,980,0.82,961,0.808164125,88.44,0.01145036518573761,0.0001,7693,,
81180,84,984,0.85,957,0.8071975,89.1,0.004912926349788904,0.0001,7794,,
81593,85,988,0.94,953,0.806216625,90.19,0.014855737797915936,0.0001,7898,,
81950,86,992,0.88,949,0.8053687500000001,89.54,0.008454224094748497,0.0001,7987,,
82336,87,996,0.88,945,0.8044520000000002,89.9,0.006347453221678734,0.0001,8083,,
82737,87,1000,0.92,942,0.8034996249999999,90.94,0.01212996244430542,0.0001,8184,,
83012,88,1004,0.89,939,0.8028464999999998,90.16,0.018282892182469368,0.0001,8252,,
83406,89,1008,0.91,936,0.8019107499999998,90.42,0.0018655608873814344,0.0001,8351,,
83809,89,1012,0.93,935,0.800953625,90.54,0.04063866659998894,0.0001,8452,,
84087,90,1016,0.89,933,0.800293375,90.01,0.002309185452759266,0.0001,8521,,
84386,90,1020,0.87,930,0.7995832499999999,89.6,0.009918375872075558,0.0001,8596,,
84718,91,1024,0.81,926,0.7987947499999999,88.65,0.030333783477544785,0.0001,8679,,
85117,92,1028,0.84,922,0.7978471250000003,88.88,0.005403410643339157,0.0001,8779,,
85379,92,1032,0.83,920,0.7972248749999998,87.98,0.011424721218645573,0.0001,8844,,
85698,93,1036,0.81,916,0.7964672499999998,87.88,0.003414830192923546,0.0001,8924,,
85990,94,1040,0.82,914,0.79577375,88.06,0.007894456386566162,0.0001,8997,,
86404,94,1044,0.85,910,0.7947905000000002,88.12,0.077243372797966,0.0001,9100,,
86749,95,1048,0.84,907,0.7939711250000001,88.24,0.0030364624690264463,0.0001,9187,,
87158,96,1052,0.85,904,0.7929997499999999,88.47,0.012965146452188492,0.0001,9289,,
87485,97,1056,0.85,901,0.7922231249999999,88.17,0.045648131519556046,0.0001,9371,,
87857,97,1060,0.83,898,0.7913396249999998,88.45,0.0062347473576664925,0.0001,9464,,
88242,98,1064,0.82,895,0.7904252500000002,88.42,0.01811860129237175,0.0001,9560,,
88568,99,1068,0.83,891,0.7896510000000001,88.49,0.011115463450551033,0.0001,9641,,
88925,99,1072,0.78,889,0.7888031250000003,88.28,0.017424248158931732,0.0001,9731,,
89219,100,1076,0.75,887,0.7881048750000001,87.4,0.10299035906791687,0.0001,9804,,
89526,101,1080,0.75,885,0.78737575,87.53,0.0057835872285068035,0.0001,9881,,
89969,102,1084,0.75,881,0.7863236250000001,87.89,0.004088013432919979,0.0001,9992,,
90269,102,1088,0.68,879,0.7856111250000002,86.76,0.003993915393948555,0.0001,10067,,
90583,103,1092,0.66,877,0.7848653749999999,86.33,0.003251513699069619,0.0001,10145,,
90939,104,1096,0.65,874,0.7840198749999998,86.03,0.00267800223082304,0.0001,10234,,
91264,104,1100,0.62,872,0.7832479999999999,85.27,0.014066338539123535,0.0001,10315,,
91609,105,1104,0.67,869,0.7824286249999999,85.97,0.02766483649611473,0.0001,10402,,
92034,106,1108,0.68,866,0.7814192500000001,86.28,0.006576732266694307,0.0001,10508,,
92373,106,1112,0.67,863,0.7806141249999999,85.64,0.012984780594706535,0.0001,10593,,
92703,107,1116,0.7,860,0.7798303750000001,86.16,0.01887868531048298,0.0001,10675,,
93096,108,1120,0.77,858,0.7788969999999998,87.1,0.031923167407512665,0.0001,10773,,
93416,109,1124,0.76,855,0.7781370000000002,86.98,0.006307550240308046,0.0001,10853,,
93755,109,1128,0.73,853,0.777331875,86.38,0.0036959876306355,0.0001,10938,,
94081,110,1132,0.73,851,0.7765576249999998,87.02,0.0032308073714375496,0.0001,11020,,
94353,110,1136,0.73,850,0.7759116250000002,86.55,0.008271775208413601,0.0001,11088,,
94708,111,1140,0.75,848,0.7750684999999999,87.18,0.014359154738485813,0.0001,11176,,
95111,112,1144,0.76,845,0.7741113750000002,87.07,0.0028292913921177387,0.0001,11277,,
95457,113,1148,0.78,843,0.7732896250000002,87.08,0.0027530991937965155,0.0001,11364,,
95827,113,1152,0.75,840,0.7724108750000003,86.69,0.02579435706138611,0.0001,11456,,
96219,114,1156,0.79,838,0.7714798749999999,87.34,0.017758186906576157,0.0001,11554,,
96557,115,1160,0.76,836,0.770677125,87.0,0.0058061000891029835,0.0001,11639,,
