time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/n_updates,train/loss
706,908.6,0.6787831857142856,321,227123,1052,-20.58,,,0.0001,31780,0.01566339284181595
705,909.37,0.6774749714285719,323,228048,1056,-20.55,,,0.0001,32011,0.008334963582456112
705,910.86,0.6762233285714284,324,228933,1060,-20.55,,,0.0001,32233,0.013724264688789845
705,908.78,0.6750537142857143,325,229760,1064,-20.56,,,0.0001,32439,0.023437052965164185
704,910.03,0.6738133857142856,327,230637,1068,-20.56,,,0.0001,32659,0.019211508333683014
704,910.63,0.6725320428571434,328,231543,1072,-20.56,,,0.0001,32885,0.023311566561460495
704,910.14,0.6712832285714281,330,232426,1076,-20.55,,,0.0001,33106,0.010380944237112999
704,909.83,0.6700952285714291,331,233266,1080,-20.55,,,0.0001,33316,0.0179028008133173
703,914.53,0.6687502428571424,332,234217,1084,-20.54,,,0.0001,33554,0.0036851426120847464
703,918.09,0.6674052571428568,334,235168,1088,-20.5,,,0.0001,33791,0.00807422399520874
702,922.97,0.6659640999999998,336,236187,1092,-20.5,,,0.0001,34046,0.0141678461804986
702,919.81,0.6647888285714283,337,237018,1096,-20.52,,,0.0001,34254,0.010151360183954239
701,920.12,0.663532942857143,339,237906,1100,-20.54,,,0.0001,34476,0.011286118067800999
701,922.41,0.6622657428571428,340,238802,1104,-20.56,,,0.0001,34700,0.02303873933851719
700,919.89,0.6609419714285713,342,239738,1108,-20.58,,,0.0001,34934,0.007091866806149483
700,921.17,0.6596436571428568,343,240656,1112,-20.55,,,0.0001,35163,0.011925138533115387
700,918.65,0.6584641428571434,344,241490,1116,-20.58,,,0.0001,35372,0.008186746388673782
699,919.16,0.6571728999999997,346,242403,1120,-20.58,,,0.0001,35600,0.008945555426180363
699,922.71,0.6557798285714285,348,243388,1124,-20.55,,,0.0001,35846,0.005367536097764969
699,921.11,0.6546201142857146,349,244208,1128,-20.55,,,0.0001,36051,0.012111295945942402
698,920.17,0.6532836142857147,350,245153,1132,-20.6,,,0.0001,36288,0.028223413974046707
698,920.73,0.6520135857142852,352,246051,1136,-20.57,,,0.0001,36512,0.011977985501289368
697,921.0,0.6507237571428575,353,246963,1140,-20.56,,,0.0001,36740,0.01416341308504343
697,920.45,0.6495470714285712,355,247795,1144,-20.54,,,0.0001,36948,0.010731812566518784
697,920.24,0.6483251285714284,356,248659,1148,-20.56,,,0.0001,37164,0.04189744219183922
697,919.51,0.647106014285714,357,249521,1152,-20.59,,,0.0001,37380,0.008435400202870369
696,918.94,0.6458105285714287,359,250437,1156,-20.6,,,0.0001,37609,0.026892980560660362
696,919.39,0.6445263571428572,361,251345,1160,-20.61,,,0.0001,37836,0.02397267147898674
695,921.48,0.6432761285714284,362,252229,1164,-20.58,,,0.0001,38057,0.007330886088311672
695,920.7,0.6420471142857147,363,253098,1168,-20.59,,,0.0001,38274,0.0037408792413771152
694,921.76,0.6407233428571433,365,254034,1172,-20.57,,,0.0001,38508,0.007153642829507589
694,925.75,0.6393458285714286,367,255008,1176,-20.56,,,0.0001,38751,0.006216724403202534
693,929.22,0.638007914285714,368,255954,1180,-20.56,,,0.0001,38988,0.024087022989988327
693,931.94,0.6365766571428573,370,256966,1184,-20.54,,,0.0001,39241,0.005311712622642517
692,934.62,0.6351411571428567,372,257981,1188,-20.55,,,0.0001,39495,0.01585327461361885
692,929.49,0.633886685714286,373,258868,1192,-20.56,,,0.0001,39716,0.009097890928387642
691,934.45,0.6325318000000002,375,259826,1196,-20.53,,,0.0001,39956,0.007439316716045141
691,934.88,0.6312561142857144,377,260728,1200,-20.49,,,0.0001,40181,0.01232085656374693
690,935.05,0.6299634571428573,378,261642,1204,-20.46,,,0.0001,40410,0.008314311504364014
690,933.1,0.6287033285714281,380,262533,1208,-20.47,,,0.0001,40633,0.016116375103592873
690,934.28,0.6273639999999999,381,263480,1212,-20.45,,,0.0001,40869,0.016221458092331886
689,935.45,0.6261463,383,264341,1216,-20.45,,,0.0001,41085,0.012802865356206894
689,935.39,0.6248578857142858,384,265252,1220,-20.44,,,0.0001,41312,0.0057616038247942924
688,930.69,0.6236203857142855,386,266127,1224,-20.5,,,0.0001,41531,0.025426533073186874
688,936.8,0.622252771428571,388,267094,1228,-20.45,,,0.0001,41773,0.009657608345150948
687,938.71,0.6208625285714291,389,268077,1232,-20.41,,,0.0001,42019,0.008404146879911423
687,943.77,0.6194143,391,269101,1236,-20.36,,,0.0001,42275,0.03205053135752678
686,943.11,0.6181470999999998,393,269997,1240,-20.36,,,0.0001,42499,0.02082529105246067
686,946.18,0.6168487857142853,394,270915,1244,-20.38,,,0.0001,42728,0.010506178252398968
686,944.48,0.6156777571428576,396,271743,1248,-20.37,,,0.0001,42935,0.007231397554278374
685,945.27,0.6144303571428569,397,272625,1252,-20.36,,,0.0001,43156,0.009205983951687813
685,943.81,0.6131971000000004,399,273497,1256,-20.37,,,0.0001,43374,0.002514442428946495
684,943.68,0.6119284857142855,400,274394,1260,-20.35,,,0.0001,43598,0.009076999500393867
684,943.46,0.6106839142857141,402,275274,1264,-20.36,,,0.0001,43818,0.014165515080094337
684,944.79,0.6094195428571432,403,276168,1268,-20.35,,,0.0001,44041,0.012082242406904697
683,944.34,0.6081240571428568,405,277084,1272,-20.35,,,0.0001,44270,0.01657671108841896
683,949.63,0.6065655142857145,407,278186,1276,-20.32,,,0.0001,44546,0.005182945169508457
683,947.93,0.6053053857142852,408,279077,1280,-20.32,,,0.0001,44769,0.017872335389256477
682,943.47,0.6040056571428571,410,279996,1284,-20.31,,,0.0001,44998,0.019511723890900612
682,940.29,0.6026734,411,280938,1288,-20.33,,,0.0001,45234,0.005643300712108612
682,939.75,0.6014358999999996,413,281813,1292,-20.32,,,0.0001,45453,0.021172167733311653
