rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,train/loss,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
0.5,85.96,79679,972,970,0.8107623749999999,82,0.03578951954841614,7419,0.0001,,
0.52,85.95,80009,976,965,0.8099786250000001,82,0.006579563952982426,7502,0.0001,,
0.48,85.69,80351,980,961,0.8091663749999999,83,0.013724107295274734,7587,0.0001,,
0.55,86.29,80766,984,955,0.8081807499999998,84,0.007877344265580177,7691,0.0001,,
0.65,87.43,81207,988,950,0.8071333749999999,85,0.005969177931547165,7801,0.0001,,
0.67,87.69,81537,992,947,0.8063496250000001,86,0.03665928542613983,7884,0.0001,,
0.72,88.22,81916,996,943,0.8054494999999998,86,0.002444074023514986,7978,0.0001,,
0.75,88.13,82296,1000,939,0.8045470000000002,87,0.012723301537334919,8073,0.0001,,
0.75,88.18,82665,1004,935,0.8036706250000001,88,0.006080428138375282,8166,0.0001,,
0.69,87.09,82943,1008,932,0.803010375,88,0.030049733817577362,8235,0.0001,,
0.62,86.63,83249,1012,929,0.8022836250000003,89,0.022128889337182045,8312,0.0001,,
0.62,86.58,83551,1016,926,0.8015663750000002,90,0.04750669002532959,8387,0.0001,,
0.66,86.9,83889,1020,923,0.8007636249999998,90,0.1098305732011795,8472,0.0001,,
0.62,85.98,84181,1024,920,0.8000701249999999,91,0.01277605164796114,8545,0.0001,,
0.63,85.83,84521,1028,917,0.7992626249999999,92,0.008469678461551666,8630,0.0001,,
0.67,86.03,84902,1032,913,0.7983577499999999,92,0.053926821798086166,8725,0.0001,,
0.72,86.32,85257,1036,910,0.7975146250000003,93,0.054126497358083725,8814,0.0001,,
0.72,86.38,85593,1040,907,0.796716625,94,0.02214796282351017,8898,0.0001,,
0.76,87.21,86032,1044,903,0.7956740000000003,95,0.020607633516192436,9007,0.0001,,
