rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
910.29,310,1056,736,0.6765344714285713,228713,-20.64,,,32178,0.0001,0.015577353537082672
913.46,312,1060,735,0.6752220142857146,229641,-20.63,,,32410,0.0001,0.00911019742488861
910.48,313,1064,735,0.6740877571428565,230443,-20.65,,,32610,0.0001,0.005805561318993568
914.02,314,1068,734,0.672833285714286,231330,-20.63,,,32832,0.0001,0.013284213840961456
920.15,316,1072,734,0.6713695000000002,232365,-20.63,,,33091,0.0001,0.032529067248106
921.83,318,1076,733,0.6700542142857144,233295,-20.64,,,33323,0.0001,0.007683382835239172
923.67,319,1080,732,0.6687106428571434,234245,-20.64,,,33561,0.0001,0.0051034376956522465
923.69,321,1084,732,0.6674349571428577,235147,-20.65,,,33786,0.0001,0.006074397824704647
922.77,322,1088,732,0.6662144285714284,236010,-20.66,,,34002,0.0001,0.01170842070132494
923.11,323,1092,731,0.6649698571428571,236890,-20.68,,,34222,0.0001,0.015218423679471016
923.26,325,1096,731,0.6636178000000005,237846,-20.66,,,34461,0.0001,0.006960531696677208
926.87,326,1100,730,0.662279885714286,238792,-20.64,,,34697,0.0001,0.00920917559415102
930.67,328,1104,730,0.6610084428571429,239691,-20.63,,,34922,0.0001,0.013473933562636375
934.5,329,1108,729,0.6595913285714282,240693,-20.64,,,35173,0.0001,0.005305516999214888
934.02,331,1112,729,0.658353828571429,241568,-20.64,,,35391,0.0001,0.008181089535355568
935.52,332,1116,728,0.6570088428571433,242519,-20.61,,,35629,0.0001,0.0045717572793364525
938.05,334,1120,728,0.6555549571428567,243547,-20.59,,,35886,0.0001,0.01042286679148674
941.29,335,1124,727,0.6542806857142855,244448,-20.57,,,36111,0.0001,0.006551333703100681
940.91,337,1128,727,0.653061571428571,245310,-20.57,,,36327,0.0001,0.012620551511645317
949.97,339,1132,726,0.6515595999999999,246372,-20.53,,,36592,0.0001,0.00476704491302371
949.54,340,1136,726,0.6503037142857147,247260,-20.52,,,36814,0.0001,0.009496297687292099
953.21,341,1140,725,0.6490195428571433,248168,-20.52,,,37041,0.0001,0.01109318621456623
951.21,343,1144,725,0.6478145714285719,249020,-20.52,,,37254,0.0001,0.018064232543110847
951.67,344,1148,724,0.6463988714285719,250021,-20.51,,,37505,0.0001,0.009972182102501392
951.58,346,1152,724,0.6450807571428567,250953,-20.54,,,37738,0.0001,0.012942597270011902
951.18,348,1156,723,0.643693342857143,251934,-20.54,,,37983,0.0001,0.008822270669043064
947.85,349,1160,723,0.6424897857142862,252785,-20.55,,,38196,0.0001,0.007203919813036919
954.25,350,1164,723,0.6411334857142856,253744,-20.52,,,38435,0.0001,0.013744007796049118
952.87,352,1168,722,0.6399313428571425,254594,-20.54,,,38648,0.0001,0.0026083788834512234
945.28,353,1172,722,0.6387433428571423,255434,-20.54,,,38858,0.0001,0.007034320384263992
944.98,355,1176,721,0.6374535142857145,256346,-20.51,,,39086,0.0001,0.007935336790978909
943.02,356,1180,721,0.6361735857142858,257251,-20.52,,,39312,0.0001,0.009982863441109657
943.14,358,1184,720,0.6348979000000001,258153,-20.53,,,39538,0.0001,0.004963488318026066
948.64,359,1188,720,0.6334963428571432,259144,-20.52,,,39785,0.0001,0.011744732968509197
949.92,361,1192,720,0.6322121714285718,260052,-20.51,,,40012,0.0001,0.004664226900786161
946.49,362,1196,719,0.6309831571428569,260921,-20.55,,,40230,0.0001,0.009283220395445824
948.69,364,1200,719,0.6295533142857148,261932,-20.55,,,40482,0.0001,0.006367608904838562
950.48,365,1204,718,0.6282097428571427,262882,-20.53,,,40720,0.0001,0.00935017317533493
949.39,367,1208,718,0.6268279857142853,263859,-20.52,,,40964,0.0001,0.0053300210274755955
954.99,368,1212,718,0.6253797571428573,264883,-20.5,,,41220,0.0001,0.006158980540931225
950.71,370,1216,717,0.6241875142857145,265726,-20.53,,,41431,0.0001,0.01248543057590723
946.68,371,1220,717,0.6228764714285714,266653,-20.56,,,41663,0.0001,0.007726557552814484
946.64,373,1224,716,0.6215908857142853,267562,-20.58,,,41890,0.0001,0.0066986107267439365
948.98,374,1228,716,0.6202968142857147,268477,-20.57,,,42119,0.0001,0.029422931373119354
939.38,376,1232,716,0.6191328571428569,269300,-20.61,,,42324,0.0001,0.012448379769921303
939.63,377,1236,715,0.6178656571428567,270196,-20.59,,,42548,0.0001,0.012789404019713402
937.81,378,1240,715,0.6166380571428577,271064,-20.6,,,42765,0.0001,0.01640973426401615
939.91,380,1244,715,0.6153666142857146,271963,-20.6,,,42990,0.0001,0.006802248768508434
934.97,381,1248,714,0.6141418428571428,272829,-20.64,,,43207,0.0001,0.016048748046159744
935.2,383,1252,714,0.6128081714285709,273772,-20.63,,,43442,0.0001,0.00636227335780859
935.42,384,1256,713,0.611406614285714,274763,-20.61,,,43690,0.0001,0.007251457776874304
939.71,386,1260,713,0.6100503142857145,275722,-20.6,,,43930,0.0001,0.01779663935303688
941.5,388,1264,713,0.6086289571428571,276727,-20.61,,,44181,0.0001,0.004854470491409302
941.62,389,1268,712,0.6074070142857144,277591,-20.61,,,44397,0.0001,0.006604745984077454
945.02,390,1272,712,0.6060818285714282,278528,-20.6,,,44631,0.0001,0.006013956386595964
947.34,392,1276,712,0.6047014857142855,279504,-20.63,,,44875,0.0001,0.005553488619625568
945.75,393,1280,711,0.6034752999999999,280371,-20.64,,,45092,0.0001,0.00698084756731987
948.55,395,1284,711,0.6020935428571426,281348,-20.63,,,45336,0.0001,0.008274571970105171
