rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
315.04,13565,486,995328,73,103.76,0.2,1.0826625e-08,-0.00023971394512045663,2847.318374633789,0.0,1940,0.00025,1454.420166015625,0.23418623208999634,3.0850060284137726e-09,,
314.08,13566,487,997376,73,103.52,0.2,1.6472768e-08,-0.0004917844853480347,3498.1031494140625,0.0,1944,0.00025,1679.8216552734375,0.2369915246963501,-1.3741373550146818e-06,,
309.6,13567,488,999424,73,102.4,0.2,1.1263182e-08,-0.0003772239524550969,2608.775665283203,0.0,1948,0.00025,1505.15966796875,0.2666046619415283,-1.1583324521780014e-08,,
310.88,13568,489,1001472,73,102.72,0.2,-4.7148205e-09,-0.0004223944779369049,2838.4344635009766,0.0,1952,0.00025,1267.0556640625,0.24420303106307983,-1.2922100722789764e-08,,
311.2,13569,490,1003520,73,102.8,0.2,-4.5110937e-09,-0.000437928609244409,3080.553024291992,0.0,1956,0.00025,1289.176513671875,0.23883581161499023,6.373738870024681e-09,,
315.36,13569,491,1005568,74,103.84,0.2,1.2543751e-08,-0.0006085231725592166,3071.316696166992,0.0,1960,0.00025,1706.544189453125,0.28442448377609253,-1.3504177331924438e-07,,
311.52,13570,492,1007616,74,102.88,0.2,0.0,-0.00035377177209738875,2620.892135620117,0.0,1964,0.00025,1411.5006103515625,0.22992420196533203,-5.723850335925817e-07,,
311.84,13571,493,1009664,74,102.96,0.2,2.415618e-09,-0.00042207040860375855,2989.3448944091797,0.0,1968,0.00025,1255.6270751953125,0.23134702444076538,-5.73345459997654e-09,,
314.72,13572,494,1011712,74,103.68,0.2,1.344597e-08,-0.0005644512548315106,3054.402084350586,0.0,1972,0.00025,1460.667236328125,0.24713456630706787,-6.594927981495857e-08,,
315.36,13572,495,1013760,74,103.84,0.2,0.0,-0.00034139681793021737,2954.480438232422,0.0,1976,0.00025,1646.284912109375,0.23360997438430786,-8.33242665976286e-08,,
313.12,13573,496,1015808,74,103.28,0.2,1.1525117e-08,-0.00038503764335473534,3078.7137908935547,0.0,1980,0.00025,1596.5216064453125,0.24042928218841553,8.133065421134233e-08,,
316.32,13574,497,1017856,74,104.08,0.2,6.664777e-09,-0.00036788073884963524,2943.0672302246094,0.0,1984,0.00025,1589.608642578125,0.23594361543655396,7.392372936010361e-09,,
